"";"parsed";"ebird"
"8931";"Spatula discors";"Spatula discors"
"8932";"Aphelocoma ultramarina";"Aphelocoma ultramarina"
"8933";"Cyanocorax beecheii";"Cyanocorax beecheii"
"8934";"Cyanocorax yucatanicus";"Cyanocorax yucatanicus"
"8935";"Cyanocorax sanblasianus";"Cyanocorax sanblasianus"
"8936";"Colinus nigrogularis";"Colinus nigrogularis"
"8937";"Colinus leucopogon";NA
"8938";"Cyanocorax affinis";"Cyanocorax affinis"
"8939";"Cyanocorax morio";NA
"8940";"Aythya americana";"Aythya americana"
"8941";"Cyanocorax formosus";NA
"8942";"Cyanolyca cucullata";"Cyanolyca cucullata"
"8943";"Cyanolyca argentigula";"Cyanolyca argentigula"
"8944";"Cyanolyca pumilo";"Cyanolyca pumilo"
"8945";"Steatornis caripensis";"Steatornis caripensis"
"8946";"Nomonyx dominicus";"Nomonyx dominicus"
"8947";"Vireo magister";"Vireo magister"
"8948";"Vireo altiloquus";"Vireo altiloquus"
"8949";"Vireo olivaceus";"Vireo olivaceus"
"8950";"Dactylortyx thoracicus";"Dactylortyx thoracicus"
"8951";"Vireo gilvus";"Vireo gilvus"
"8952";"Vireo philadelphicus";"Vireo philadelphicus"
"8953";"Bucephala albeola";"Bucephala albeola"
"8954";"Vireo solitarius";"Vireo solitarius"
"8955";"Dendrortyx macroura";"Dendrortyx macroura"
"8956";"Odontophorus melanotis";"Odontophorus melanotis"
"8957";"Vireo cassinii";"Vireo cassinii"
"8958";"Vireo flavifrons";"Vireo flavifrons"
"8959";"Vireo vicinior";"Vireo vicinior"
"8960";"Vireo griseus";"Vireo griseus"
"8961";"Vireo nelsoni";"Vireo nelsoni"
"8962";"Vireo brevipennis";"Vireo brevipennis"
"8963";"Pachysylvia hypochrysea";NA
"8964";"Odontophorus leucolaemus";"Odontophorus leucolaemus"
"8965";"Manacus vitellinus";"Manacus vitellinus"
"8966";"Manacus aurantiacus";"Manacus aurantiacus"
"8967";"Manacus candei";"Manacus candei"
"8968";"Chiroxiphia lanceolata";"Chiroxiphia lanceolata"
"8969";"Carpodectes nitidus";"Carpodectes nitidus"
"8970";"Drymophila genei";"Drymophila genei"
"8971";"Polyplectron malacense";"Polyplectron malacense"
"8972";"Carpodectes hopkei";"Carpodectes hopkei"
"8973";"Lipaugus unirufus";"Lipaugus unirufus"
"8974";"Cotinga nattererii";"Cotinga nattererii"
"8975";"Cotinga amabilis";"Cotinga amabilis"
"8976";"Querula purpurata";"Querula purpurata"
"8977";"Pachyramphus homochrous";"Pachyramphus homochrous"
"8978";"Pachyramphus cinnamomeus";"Pachyramphus cinnamomeus"
"8979";"Odontophorus guttatus";"Odontophorus guttatus"
"8980";"Cyrtonyx montezumae";"Cyrtonyx montezumae"
"8981";"Pachyramphus rufus";"Pachyramphus rufus"
"8982";"Pachyramphus versicolor";"Pachyramphus versicolor"
"8983";"Tityra inquisitor";"Tityra inquisitor"
"8984";"Aythya collaris";"Aythya collaris"
"8985";"Tyrannus forficatus";"Tyrannus forficatus"
"8986";"Tyrannus dominicensis";"Tyrannus dominicensis"
"8987";"Tyrannus tyrannus";"Tyrannus tyrannus"
"8988";"Tyrannus verticalis";"Tyrannus verticalis"
"8989";"Tyrannus crassirostris";"Tyrannus crassirostris"
"8990";"Tyrannus vociferans";"Tyrannus vociferans"
"8991";"Lophodytes cucullatus";"Lophodytes cucullatus"
"8992";"Myiodynastes luteiventris";"Myiodynastes luteiventris"
"8993";"Dendragapus obscurus";"Dendragapus obscurus"
"8994";"Conopias albovittatus";"Conopias albovittatus"
"8995";"Myiozetetes granadensis";"Myiozetetes granadensis"
"8996";"Myiozetetes cayanensis";"Myiozetetes cayanensis"
"8997";"Megarynchus pitangua";"Megarynchus pitangua"
"8998";"Aythya valisineria";"Aythya valisineria"
"8999";"Philohydor lictor";NA
"9000";"Deltarhynchus flammulatus";NA
"9001";"Myiarchus crinitus";"Myiarchus crinitus"
"9002";"Myiarchus nuttingi";"Myiarchus nuttingi"
"9003";"Myiarchus cinerascens";"Myiarchus cinerascens"
"9004";"Sirystes albogriseus";"Sirystes albogriseus"
"9005";"Attila spadiceus";"Attila spadiceus"
"9006";"Machetornis rixosa";"Machetornis rixosa"
"9007";"Colonia colonus";"Colonia colonus"
"9008";"Fluvicola pica";"Fluvicola pica"
"9009";"Sayornis phoebe";"Sayornis phoebe"
"9010";"Sayornis nigricans";"Sayornis nigricans"
"9011";"Empidonax fulvifrons";"Empidonax fulvifrons"
"9012";"Empidonax flavescens";"Empidonax flavescens"
"9013";"Empidonax oberholseri";"Empidonax oberholseri"
"9014";"Empidonax wrightii";"Empidonax wrightii"
"9015";"Empidonax hammondii";"Empidonax hammondii"
"9016";"Empidonax minimus";"Empidonax minimus"
"9017";"Empidonax albigularis";"Empidonax albigularis"
"9018";"Empidonax traillii";"Empidonax traillii"
"9019";"Empidonax alnorum";"Empidonax alnorum"
"9020";"Empidonax virescens";"Empidonax virescens"
"9021";"Empidonax flaviventris";"Empidonax flaviventris"
"9022";"Contopus virens";"Contopus virens"
"9023";"Contopus sordidulus";"Contopus sordidulus"
"9024";"Mitrephanes phaeocercus";"Mitrephanes phaeocercus"
"9025";"Xenotriccus mexicanus";"Xenotriccus mexicanus"
"9026";"Myiobius atricaudus";"Myiobius atricaudus"
"9027";"Tolmomyias sulphurescens";"Tolmomyias sulphurescens"
"9028";"Todirostrum nigriceps";"Todirostrum nigriceps"
"9029";"Todirostrum cinereum";"Todirostrum cinereum"
"9030";"Poecilotriccus sylvia";"Poecilotriccus sylvia"
"9031";"Oncostoma olivaceum";"Oncostoma olivaceum"
"9032";"Oncostoma cinereigulare";"Oncostoma cinereigulare"
"9033";"Atalotriccus pilaris";"Atalotriccus pilaris"
"9034";"Lophotriccus pileatus";"Lophotriccus pileatus"
"9035";"Myiornis atricapillus";"Myiornis atricapillus"
"9036";"Phylloscartes flavovirens";"Phylloscartes flavovirens"
"9037";"Tympanuchus phasianellus";"Tympanuchus phasianellus"
"9038";"Elaenia frantzii";"Elaenia frantzii"
"9039";"Elaenia flavogaster";"Elaenia flavogaster"
"9040";"Elaenia martinica";"Elaenia martinica"
"9041";"Capsiempis flaveola";"Capsiempis flaveola"
"9042";"Camptostoma obsoletum";"Camptostoma obsoletum"
"9043";"Camptostoma imberbe";"Camptostoma imberbe"
"9044";"Sclerurus guatemalensis";"Sclerurus guatemalensis"
"9045";"Dendrocincla homochroa";"Dendrocincla homochroa"
"9046";"Synallaxis erythrothorax";"Synallaxis erythrothorax"
"9047";"Synallaxis brachyura";"Synallaxis brachyura"
"9048";"Synallaxis albescens";"Synallaxis albescens"
"9049";"Cranioleuca erythrops";"Cranioleuca erythrops"
"9050";"Xenerpestes minlosi";"Xenerpestes minlosi"
"9051";"Margarornis rubiginosus";"Margarornis rubiginosus"
"9052";"Premnoplex brunnescens";"Premnoplex brunnescens"
"9053";"Thripadectes rufobrunneus";"Thripadectes rufobrunneus"
"9054";"Clibanornis rubiginosus";"Clibanornis rubiginosus"
"9055";"Syndactyla subalaris";"Syndactyla subalaris"
"9056";"Anabacerthia variegaticeps";"Anabacerthia variegaticeps"
"9057";"Philydor fuscipenne";"Philydor fuscipenne"
"9058";"Lochmias nematura";"Lochmias nematura"
"9059";"Lepidocolaptes souleyetii";"Lepidocolaptes souleyetii"
"9060";"Lepidocolaptes leucogaster";"Lepidocolaptes leucogaster"
"9061";"Campylorhamphus pusillus";"Campylorhamphus pusillus"
"9062";"Campylorhamphus trochilirostris";"Campylorhamphus trochilirostris"
"9063";"Dendroplex picus";"Dendroplex picus"
"9064";"Xiphorhynchus flavigaster";"Xiphorhynchus flavigaster"
"9065";"Xiphorhynchus susurrans";"Xiphorhynchus susurrans"
"9066";"Dendrocincla fuliginosa";"Dendrocincla fuliginosa"
"9067";"Dendrocincla anabatina";"Dendrocincla anabatina"
"9068";"Formicarius rufipectus";"Formicarius rufipectus"
"9069";"Formicarius nigricapillus";"Formicarius nigricapillus"
"9070";"Psarocolius montezuma";"Psarocolius montezuma"
"9071";"Psarocolius decumanus";"Psarocolius decumanus"
"9072";"Cassiculus melanicterus";"Cassiculus melanicterus"
"9073";"Icterus abeillei";"Icterus abeillei"
"9074";"Icterus graduacauda";"Icterus graduacauda"
"9075";"Icterus pectoralis";"Icterus pectoralis"
"9076";"Icterus auratus";"Icterus auratus"
"9077";"Icterus prosthemelas";"Icterus prosthemelas"
"9078";"Icterus wagleri";"Icterus wagleri"
"9079";"Molothrus oryzivorus";"Molothrus oryzivorus"
"9080";"Leistes militaris";"Leistes militaris"
"9081";"Chrysomus icterocephalus";"Chrysomus icterocephalus"
"9082";"Icterus fuertesi";NA
"9083";"Cacicus cela";"Cacicus cela"
"9084";"Cacicus uropygialis";"Cacicus uropygialis"
"9085";"Pheucticus chrysopeplus";"Pheucticus chrysopeplus"
"9086";"Caryothraustes canadensis";"Caryothraustes canadensis"
"9087";"Habia rubica";"Habia rubica"
"9088";"Calidris minuta";"Calidris minuta"
"9089";"Piranga leucoptera";"Piranga leucoptera"
"9090";"Piranga bidentata";"Piranga bidentata"
"9091";"Granatellus venustus";"Granatellus venustus"
"9092";"Piranga hepatica";NA
"9093";"Chlorospingus canigularis";"Chlorospingus canigularis"
"9094";"Chlorospingus inornatus";"Chlorospingus inornatus"
"9095";"Chlorospingus tacarcunae";"Chlorospingus tacarcunae"
"9096";"Chlorospingus flavopectus";"Chlorospingus flavopectus"
"9097";"Junco hyemalis";"Junco hyemalis"
"9098";"Zonotrichia albicollis";"Zonotrichia albicollis"
"9099";"Zonotrichia capensis";"Zonotrichia capensis"
"9100";"Melospiza georgiana";"Melospiza georgiana"
"9101";"Ammospiza maritima";"Ammospiza maritima"
"9102";"Ammospiza nelsoni";"Ammospiza nelsoni"
"9103";"Ammodramus savannarum";"Ammodramus savannarum"
"9104";"Amphispiza bilineata";"Amphispiza bilineata"
"9105";"Spizella breweri";"Spizella breweri"
"9106";"Spizella passerina";"Spizella passerina"
"9107";"Passerella arborea";NA
"9108";"Oriturus superciliosus";"Oriturus superciliosus"
"9109";"Peucaea botterii";"Peucaea botterii"
"9110";"Melozone fusca";"Melozone fusca"
"9111";"Aimophila ruficeps";"Aimophila ruficeps"
"9112";"Atlapetes albinucha";"Atlapetes albinucha"
"9113";"Arremonops chloronotus";"Arremonops chloronotus"
"9114";"Arremonops rufivirgatus";"Arremonops rufivirgatus"
"9115";"Pipilo maculatus";"Pipilo maculatus"
"9116";"Melozone leucotis";"Melozone leucotis"
"9117";"Melozone occipitalis";NA
"9118";"Passerculus sandwichensis";"Passerculus sandwichensis"
"9119";"Passerculus guttatus";NA
"9120";"Passerella iliaca";"Passerella iliaca"
"9121";"Rhodinocichla rosea";"Rhodinocichla rosea"
"9122";"Saltator grandis";"Saltator grandis"
"9123";"Sporophila corvina";"Sporophila corvina"
"9124";"Colinus cristatus";"Colinus cristatus"
"9125";"Tiaris olivaceus";"Tiaris olivaceus"
"9126";"Ortalis vetula";"Ortalis vetula"
"9127";"Ramphocelus passerinii";"Ramphocelus passerinii"
"9128";"Ramphocelus sanguinolentus";"Ramphocelus sanguinolentus"
"9129";"Heterospingus rubrifrons";"Heterospingus rubrifrons"
"9130";"Diglossa baritula";"Diglossa baritula"
"9131";"Tangara icterocephala";"Tangara icterocephala"
"9132";"Callipepla squamata";"Callipepla squamata"
"9133";"Callipepla gambelii";"Callipepla gambelii"
"9134";"Tangara florida";"Tangara florida"
"9135";"Tangara larvata";NA
"9136";"Tangara abbas";NA
"9137";"Callipepla californica";"Callipepla californica"
"9138";"Icteria virens";"Icteria virens"
"9139";"Myioborus miniatus";"Myioborus miniatus"
"9140";"Basileuterus rufifrons";"Basileuterus rufifrons"
"9141";"Setophaga virens";"Setophaga virens"
"9142";"Setophaga occidentalis";"Setophaga occidentalis"
"9143";"Setophaga dominica";"Setophaga dominica"
"9144";"Setophaga palmarum";"Setophaga palmarum"
"9145";"Setophaga caerulescens";"Setophaga caerulescens"
"9146";"Setophaga castanea";"Setophaga castanea"
"9147";"Setophaga americana";"Setophaga americana"
"9148";"Geothlypis tolmiei";"Geothlypis tolmiei"
"9149";"Callipepla douglasii";"Callipepla douglasii"
"9150";"Dendrocygna autumnalis";"Dendrocygna autumnalis"
"9151";"Phoenicopterus ruber";"Phoenicopterus ruber"
"9152";"Lagopus leucura";"Lagopus leucura"
"9153";"Podilymbus podiceps";"Podilymbus podiceps"
"9154";"Vermivora cyanoptera";"Vermivora cyanoptera"
"9155";"Seiurus aurocapilla";"Seiurus aurocapilla"
"9156";"Basileuterus culicivorus";"Basileuterus culicivorus"
"9157";"Geothlypis chiriquensis";NA
"9158";"Geothlypis bairdi";NA
"9159";"Tachybaptus dominicus";"Tachybaptus dominicus"
"9160";"Oreortyx pictus";"Oreortyx pictus"
"9161";"Dendragapus fuliginosus";"Dendragapus fuliginosus"
"9162";"Branta hutchinsii";"Branta hutchinsii"
"9163";"Spinus notatus";"Spinus notatus"
"9164";"Patagioenas cayennensis";"Patagioenas cayennensis"
"9165";"Euphonia elegantissima";NA
"9166";"Patagioenas speciosa";"Patagioenas speciosa"
"9167";"Euphonia hirundinacea";"Euphonia hirundinacea"
"9168";"Patagioenas nigrirostris";"Patagioenas nigrirostris"
"9169";"Patagioenas flavirostris";"Patagioenas flavirostris"
"9170";"Mimus gilvus";"Mimus gilvus"
"9171";"Toxostoma cinereum";"Toxostoma cinereum"
"9172";"Melanotis hypoleucus";"Melanotis hypoleucus"
"9173";"Melanotis caerulescens";"Melanotis caerulescens"
"9174";"Aechmophorus occidentalis";"Aechmophorus occidentalis"
"9175";"Turdus grayi";"Turdus grayi"
"9176";"Catharus dryas";"Catharus dryas"
"9177";"Catharus frantzii";"Catharus frantzii"
"9178";"Spatula cyanoptera";"Spatula cyanoptera"
"9179";"Catharus aurantiirostris";"Catharus aurantiirostris"
"9180";"Bonasa umbellus";"Bonasa umbellus"
"9181";"Aythya affinis";"Aythya affinis"
"9182";"Myadestes townsendi";"Myadestes townsendi"
"9183";"Sialia sialis";"Sialia sialis"
"9184";"Turdus migratorius";"Turdus migratorius"
"9185";"Turdus confinis";NA
"9186";"Turdus assimilis";"Turdus assimilis"
"9187";"Catharus ustulatus";"Catharus ustulatus"
"9188";"Catharus swainsoni";NA
"9189";"Regulus satrapa";"Regulus satrapa"
"9190";"Polioptila albiloris";"Polioptila albiloris"
"9191";"Ramphocaenus melanurus";"Ramphocaenus melanurus"
"9192";"Polioptila plumbea";"Polioptila plumbea"
"9193";"Polioptila nigriceps";"Polioptila nigriceps"
"9194";"Polioptila californica";"Polioptila californica"
"9195";"Uropsila leucogastra";"Uropsila leucogastra"
"9196";"Cantorchilus thoracicus";"Cantorchilus thoracicus"
"9197";"Thryophilus rufalbus";"Thryophilus rufalbus"
"9198";"Pheugopedius fasciatoventris";"Pheugopedius fasciatoventris"
"9199";"Pheugopedius felix";"Pheugopedius felix"
"9200";"Pheugopedius maculipectus";"Pheugopedius maculipectus"
"9201";"Columbina passerina";"Columbina passerina"
"9202";"Columbina minuta";"Columbina minuta"
"9203";"Campylorhynchus jocosus";"Campylorhynchus jocosus"
"9204";"Columbina talpacoti";"Columbina talpacoti"
"9205";"Campylorhynchus gularis";"Campylorhynchus gularis"
"9206";"Campylorhynchus chiapensis";"Campylorhynchus chiapensis"
"9207";"Claravis pretiosa";"Claravis pretiosa"
"9208";"Campylorhynchus zonatus";"Campylorhynchus zonatus"
"9209";"Thryomanes bewickii";"Thryomanes bewickii"
"9210";"Cantorchilus modestus";"Cantorchilus modestus"
"9211";"Geotrygon montana";"Geotrygon montana"
"9212";"Campylorhynchus rufinucha";"Campylorhynchus rufinucha"
"9213";"Campylorhynchus humilis";NA
"9214";"Campylorhynchus capistratus";NA
"9215";"Thryothorus ludovicianus";"Thryothorus ludovicianus"
"9216";"Leptotrygon veraguensis";"Leptotrygon veraguensis"
"9217";"Psaltriparus minimus";"Psaltriparus minimus"
"9218";"Cyanocorax melanocyaneus";"Cyanocorax melanocyaneus"
"9219";"Cyanocorax colliei";NA
"9220";"Tunchiornis ochraceiceps";"Tunchiornis ochraceiceps"
"9221";"Vireolanius pulchellus";"Vireolanius pulchellus"
"9222";"Hylophilus insularis";NA
"9223";"Hylophilus viridiflavus";NA
"9224";"Cyclarhis gujanensis";"Cyclarhis gujanensis"
"9225";"Pachysylvia decurtata";"Pachysylvia decurtata"
"9226";"Vireo pallens";"Vireo pallens"
"9227";"Vireo huttoni";"Vireo huttoni"
"9228";"Vireo plumbeus";"Vireo plumbeus"
"9229";"Vireo leucophrys";"Vireo leucophrys"
"9230";"Vireo flavoviridis";"Vireo flavoviridis"
"9231";"Tityra semifasciata";"Tityra semifasciata"
"9232";"Pachyramphus major";"Pachyramphus major"
"9233";"Pachyramphus uropygialis";NA
"9234";"Leptopogon amaurocephalus";"Leptopogon amaurocephalus"
"9235";"Mionectes oleagineus";"Mionectes oleagineus"
"9236";"Onychorhynchus mexicanus";NA
"9237";"Zimmerius vilissimus";"Zimmerius vilissimus"
"9238";"Zimmerius parvus";"Zimmerius parvus"
"9239";"Mionectes olivaceus";"Mionectes olivaceus"
"9240";"Xiphorhynchus lachrymosus";"Xiphorhynchus lachrymosus"
"9241";"Xiphocolaptes promeropirhynchus";"Xiphocolaptes promeropirhynchus"
"9242";"Glyphorynchus spirurus";"Glyphorynchus spirurus"
"9243";"Sclerurus mexicanus";"Sclerurus mexicanus"
"9244";"Formicarius analis";"Formicarius analis"
"9245";"Deconychura typica";NA
"9246";"Dendrocolaptes sanctithomae";"Dendrocolaptes sanctithomae"
"9247";"Xenops genibarbis";NA
"9248";"Pseudocolaptes lawrencii";"Pseudocolaptes lawrencii"
"9249";"Lepidocolaptes affinis";"Lepidocolaptes affinis"
"9250";"Xiphorhynchus erythropygius";"Xiphorhynchus erythropygius"
"9251";"Xiphorhynchus aequatorialis";NA
"9252";"Hylopezus dives";NA
"9253";"Hylopezus perspicillatus";"Hylopezus perspicillatus"
"9254";"Grallaria guatimalensis";"Grallaria guatimalensis"
"9255";"Pittasoma michleri";"Pittasoma michleri"
"9256";"Cercomacroides tyrannina";"Cercomacroides tyrannina"
"9257";"Myrmotherula pacifica";"Myrmotherula pacifica"
"9258";"Amazona xantholora";"Amazona xantholora"
"9259";"Pyrilia haematotis";"Pyrilia haematotis"
"9260";"Brotogeris jugularis";"Brotogeris jugularis"
"9261";"Psittacara finschi";"Psittacara finschi"
"9262";"Pyrrhura hoffmanni";"Pyrrhura hoffmanni"
"9263";"Falco rufigularis";"Falco rufigularis"
"9264";"Micrastur semitorquatus";"Micrastur semitorquatus"
"9265";"Micrastur ruficollis";"Micrastur ruficollis"
"9266";"Herpetotheres cachinnans";"Herpetotheres cachinnans"
"9267";"Campephilus guatemalensis";"Campephilus guatemalensis"
"9268";"Celeus castaneus";"Celeus castaneus"
"9269";"Celeus loricatus";"Celeus loricatus"
"9270";"Colaptes auricularis";"Colaptes auricularis"
"9271";"Colaptes rubiginosus";"Colaptes rubiginosus"
"9272";"Piculus callopterus";"Piculus callopterus"
"9273";"Piculus simplex";"Piculus simplex"
"9274";"Leuconotopicus stricklandi";NA
"9275";"Leuconotopicus arizonae";NA
"9276";"Leuconotopicus villosus";NA
"9277";"Leuconotopicus fumigatus";NA
"9278";"Taoniscus nanus";"Taoniscus nanus"
"9279";"Mergus octosetaceus";"Mergus octosetaceus"
"9280";"Xenospiza baileyi";"Xenospiza baileyi"
"9281";"Podiceps gallardoi";"Podiceps gallardoi"
"9282";"Columbina cyanopis";"Columbina cyanopis"
"9283";"Calidris temminckii";"Calidris temminckii"
"9284";"Phylloscopus inornatus";"Phylloscopus inornatus"
"9285";"Calamonastides bensoni";NA
"9286";"Vireo caribaeus";"Vireo caribaeus"
"9287";"Todiramphus godeffroyi";"Todiramphus godeffroyi"
"9288";"Acrocephalus aequinoctialis";"Acrocephalus aequinoctialis"
"9289";"Passer zarudnyi";"Passer zarudnyi"
"9290";"Eos reticulata";"Eos reticulata"
"9291";"Psittacula caniceps";"Psittacula caniceps"
"9292";"Zoothera machiki";"Zoothera machiki"
"9293";"Rhipidura opistherythra";"Rhipidura opistherythra"
"9294";"Cyornis nicobaricus";"Cyornis nicobaricus"
"9295";"Geokichla joiceyi";"Geokichla joiceyi"
"9296";"Geokichla schistacea";"Geokichla schistacea"
"9297";"Horornis carolinae";"Horornis carolinae"
"9298";"Tachycineta euchrysea";"Tachycineta euchrysea"
"9299";"Melanerpes pucherani";"Melanerpes pucherani"
"9300";"Aspatha gularis";"Aspatha gularis"
"9301";"Glaucidium palmarum";"Glaucidium palmarum"
"9302";"Melanerpes hypopolius";"Melanerpes hypopolius"
"9303";"Leptotila cassinii";"Leptotila cassinii"
"9304";"Leptotila plumbeiceps";"Leptotila plumbeiceps"
"9305";"Morococcyx erythropygus";"Morococcyx erythropygus"
"9306";"Phaethornis mexicanus";"Phaethornis mexicanus"
"9307";"Aramides axillaris";"Aramides axillaris"
"9308";"Campylopterus rufus";NA
"9309";"Hylomanes momotula";"Hylomanes momotula"
"9310";"Malacoptila panamensis";"Malacoptila panamensis"
"9311";"Atthis ellioti";NA
"9312";"Laterallus flaviventer";NA
"9313";"Melanerpes pygmaeus";"Melanerpes pygmaeus"
"9314";"Coccyzus minor";"Coccyzus minor"
"9315";"Antrostomus arizonae";"Antrostomus arizonae"
"9316";"Calypte costae";"Calypte costae"
"9317";"Coccyzus erythropthalmus";"Coccyzus erythropthalmus"
"9318";"Megascops asio";"Megascops asio"
"9319";"Amazona viridigenalis";"Amazona viridigenalis"
"9320";"Anthus spragueii";"Anthus spragueii"
"9321";"Centrocercus minimus";"Centrocercus minimus"
"9322";"Otus alius";"Otus alius"
"9323";"Elanus caeruleus";"Elanus caeruleus"
"9324";"Phylloscopus hainanus";"Phylloscopus hainanus"
"9325";"Poodytes albolimbatus";"Poodytes albolimbatus"
"9326";"Sclerurus cearensis";NA
"9327";"Calidris acuminata";"Calidris acuminata"
"9328";"Ectopistes migratorius";"Ectopistes migratorius"
"9329";"Carduelis carduelis";"Carduelis carduelis"
"9330";"Antrostomus vociferus";"Antrostomus vociferus"
"9331";"Aythya nyroca";"Aythya nyroca"
"9332";"Limnoctites rectirostris";"Limnoctites rectirostris"
"9333";"Pyrrhula waterstradti";NA
"9334";"Amazilia humboldtii";NA
"9335";"Scytalopus fuscus";"Scytalopus fuscus"
"9336";"Thripophaga cherriei";"Thripophaga cherriei"
"9337";"Ploceus burnieri";"Ploceus burnieri"
"9338";"Megalurulus llaneae";NA
"9339";"Megalurulus grosvenori";NA
"9340";"Anthus roseatus";"Anthus roseatus"
"9341";"Geokichla citrina";"Geokichla citrina"
"9342";"Platylophus galericulatus";"Platylophus galericulatus"
"9343";"Cyornis banyumas";"Cyornis banyumas"
"9344";"Pterodroma longirostris";"Pterodroma longirostris"
"9345";"Pterodroma incerta";"Pterodroma incerta"
"9346";"Puffinus huttoni";"Puffinus huttoni"
"9347";"Puffinus newelli";"Puffinus newelli"
"9348";"Papasula abbotti";"Papasula abbotti"
"9349";"Cyanopsitta spixii";"Cyanopsitta spixii"
"9350";"Xanthopsar flavus";"Xanthopsar flavus"
"9351";"Piprites pileata";"Piprites pileata"
"9352";"Vireo atricapilla";"Vireo atricapilla"
"9353";"Picumnus minutissimus";"Picumnus minutissimus"
"9354";"Setophaga flavescens";"Setophaga flavescens"
"9355";"Melamprosops phaeosoma";"Melamprosops phaeosoma"
"9356";"Psarocolius cassini";"Psarocolius cassini"
"9357";"Xenotriccus callizonus";"Xenotriccus callizonus"
"9358";"Vanellus leucurus";"Vanellus leucurus"
"9359";"Asthenes luizae";"Asthenes luizae"
"9360";"Gelochelidon nilotica";"Gelochelidon nilotica"
"9361";"Grallaricula lineifrons";"Grallaricula lineifrons"
"9362";"Cyanolyca nanus";"Cyanolyca nanus"
"9363";"Spatula clypeata";"Spatula clypeata"
"9364";"Charadrius leschenaultii";"Charadrius leschenaultii"
"9365";"Anas acuta";"Anas acuta"
"9366";"Melanerpes herminieri";"Melanerpes herminieri"
"9367";"Hypocnemis cantator";"Hypocnemis cantator"
"9368";"Jacamaralcyon tridactyla";"Jacamaralcyon tridactyla"
"9369";"Leptotila conoveri";"Leptotila conoveri"
"9370";"Eleothreptus candicans";"Eleothreptus candicans"
"9371";"Vireo masteri";"Vireo masteri"
"9372";"Patagioenas subvinacea";"Patagioenas subvinacea"
"9373";"Alexandrinus eques";NA
"9374";"Antrostomus carolinensis";"Antrostomus carolinensis"
"9375";"Egretta rufescens";"Egretta rufescens"
"9376";"Myiopagis olallai";"Myiopagis olallai"
"9377";"Chlorochrysa nitidissima";"Chlorochrysa nitidissima"
"9378";"Psittacara wagleri";"Psittacara wagleri"
"9379";"Hylocichla mustelina";"Hylocichla mustelina"
"9380";"Molothrus armenti";NA
"9381";"Cranioleuca henricae";"Cranioleuca henricae"
"9382";"Podiceps cristatus";"Podiceps cristatus"
"9383";"Zapornia pusilla";"Zapornia pusilla"
"9384";"Fulica atra";"Fulica atra"
"9385";"Tangara cabanisi";NA
"9386";"Pachyramphus spodiurus";"Pachyramphus spodiurus"
"9387";"Aerodramus francicus";"Aerodramus francicus"
"9388";"Haemorhous cassinii";"Haemorhous cassinii"
"9389";"Streptopelia turtur";"Streptopelia turtur"
"9390";"Anodorhynchus glaucus";"Anodorhynchus glaucus"
"9391";"Coracias garrulus";"Coracias garrulus"
"9392";"Dacnis viguieri";"Dacnis viguieri"
"9393";"Psittacus erithacus";"Psittacus erithacus"
"9394";"Aythya baeri";"Aythya baeri"
"9395";"Ardenna grisea";"Ardenna grisea"
"9396";"Eremomela turneri";"Eremomela turneri"
"9397";"Streptopelia decaocto";"Streptopelia decaocto"
"9398";"Buteogallus gundlachii";"Buteogallus gundlachii"
"9399";"Acrocephalus longirostris";"Acrocephalus longirostris"
"9400";"Anthus pratensis";"Anthus pratensis"
"9401";"Motacilla citreola";"Motacilla citreola"
"9402";"Oenanthe xanthoprymna";"Oenanthe xanthoprymna"
"9403";"Passer hispaniolensis";"Passer hispaniolensis"
"9404";"Falco columbarius";"Falco columbarius"
"9405";"Pluvialis squatarola";"Pluvialis squatarola"
"9406";"Thalasseus sandvicensis";"Thalasseus sandvicensis"
"9407";"Larus armenicus";"Larus armenicus"
"9408";"Larus michahellis";"Larus michahellis"
"9409";"Ardea cinerea";"Ardea cinerea"
"9410";"Tadorna tadorna";"Tadorna tadorna"
"9411";"Larus genei";NA
"9412";"Larus melanocephalus";NA
"9413";"Amazona aestiva";"Amazona aestiva"
"9414";"Nothura maculosa";"Nothura maculosa"
"9415";"Oenanthe chrysopygia";"Oenanthe chrysopygia"
"9416";"Macropygia magna";"Macropygia magna"
"9417";"Dendrocygna arborea";"Dendrocygna arborea"
"9418";"Turacoena manadensis";"Turacoena manadensis"
"9419";"Arenaria interpres";"Arenaria interpres"
"9420";"Onychoprion anaethetus";"Onychoprion anaethetus"
"9421";"Accipiter soloensis";"Accipiter soloensis"
"9422";"Accipiter virgatus";"Accipiter virgatus"
"9423";"Emberiza sulphurata";"Emberiza sulphurata"
"9424";"Gorsachius goisagi";"Gorsachius goisagi"
"9425";"Pycnonotus taivanus";"Pycnonotus taivanus"
"9426";"Acrocephalus sorghophilus";"Acrocephalus sorghophilus"
"9427";"Motacilla tschutschensis";"Motacilla tschutschensis"
"9428";"Zoothera aurea";"Zoothera aurea"
"9429";"Calidris pygmaea";"Calidris pygmaea"
"9430";"Geophaps plumifera";"Geophaps plumifera"
"9431";"Phaethornis bourcieri";"Phaethornis bourcieri"
"9432";"Anthocephala floriceps";"Anthocephala floriceps"
"9433";"Gypaetus barbatus";"Gypaetus barbatus"
"9434";"Ardea purpurea";"Ardea purpurea"
"9435";"Sterna repressa";"Sterna repressa"
