internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12548,Macaca arctoides,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,arctoides,,,,,"(I. Geoffroy, 1831)","<p>Morphological evidences suggest the species’ of <em>sinica </em>species group. Two subspecies are considered, based on pelage variations namely the bright brown northern subspecies, <em>Macaca arctoides arctoides</em> and the black southern subspecies <em>Macaca arctoides melanota</em> (Koyabu <em>et al</em>, 2008) But in this assessment it is considered monotypic. </p>"
12551,Macaca fascicularis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,fascicularis,,,,,"(Raffles, 1821)","At least ten subspecies are presently recognized, most of which are isolated, insular populations with few apparent differences between any of them other than pelage color, tail length, and the form of the cheek whiskers (Groves 2001). There is considerable hybridization between this species and <em>M. mulatta</em> where their ranges meet. Hybrids between <em>M. fascicularis</em> and <em>M. nemestrina</em> have also been reported (Groves 2001)."
12550,Macaca cyclopis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,cyclopis,,,,,"(Swinhoe, 1863)","<span class=""apple-converted-space"">Belongs to the fascicularis species group alongside <em>Macaca mulatta</em>, <em>M. </em><span class=""apple-converted-space""><em>fascicularis</em> and <em>M. fuscata</em>. A drop in sea level and glacial advances c.300,000 years ago is said to have brought the species’ progenitor to the island from eastern mainland of Asia. Molecular genetic studies by Jui-Hua Chu and colleagues suggest the divergence of <em>M.cyclopsis</em> and <em>M.fuscata</em> from mainland <em>M. mulatta</em> to be of 0.38-0.44 million years ago.</span>"
12555,Macaca nemestrina,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,nemestrina,,,,,"(Linnaeus, 1766)","This taxon formerly included <em>Macaca leonina</em> as a subspecies (Groves 2001). There is some hybridization with <em>M. leonina</em> in a small area of southern peninsular Thailand, and on the islands of Phuket and Yao Yai (Groves 2001).<br/><br/>The bluntly bilobed glans penis (glans length 60-89%) has resulted in assignment to various macaque groups including <em>silenus-sylvanus</em> groups and more recently the <em>nemestrina</em> group.<br/><br/>Mid-pleistocene fossils have been collected in eastern Java, ancestral to living <em>M. nemestrina</em>. Prehistoric Holocene subfossils dating within 10,000 years suggest a greater abundance of <em>M. nemestrina</em> in the western part of Sunda than the present scenario. There is much morphological similarity in the now disjunct and peninsular population."
12554,Macaca mulatta,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,mulatta,,,,,"(Zimmermann, 1780)","<p>This&#160;species&#160;has&#160;been&#160;revised&#160;by&#160;Fooden&#160;(2000),&#160;who&#160;regards&#160;<em>Macaca mulatt</em>a as monotypic. The molecular differences identified among&#160;<em>M.&#160;mulatta</em>&#160;populations&#160;(Melnick&#160;<em>et&#160;al</em>.&#160;1993; Morales and Melnick 1998; Tosi 2000; Tosi <em>et al. </em>2000, 2002, 2003; Zhang and Shi 1993) are alone not consistent enough to conclusively define any subspecies.<br/><br/>Three subpopulation designated by molecular studies: Indian, Chinese, Indochinese (Indochinese being an introgression with <em>M. fascicularis</em>). Considerable hybridization with <em>M. fascicularis</em> in Laos, Thailand and Viet Nam and the both share an interspecific boundary of <em>ca</em> 2,000 km across the Indochinese peninsula in the south-east. Both <em>M. fascicularis</em> and <em>M. mulatta </em>share a range between 17°N and 14°N in Viet Nam, Laos and probably Thailand.</p>"
136265,Chlorocebus sabaeus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Chlorocebus,sabaeus,,,,,"(Linnaeus, 1766)","<p>A first comparison of the three major taxa of the <em>Cercopithecus aethiops</em> group, using electrophoretic polymorphism, concluded an intermediate status between subspecies and populations (Lucotte <em>et al</em>. 1982). The species was treated by Grubb <em>et al</em>. (2003) as a subspecies of <em>C. aethiops</em>, but here it is considered distinct. Grubb <em>et al</em>. (2003) retained this species in <em>Cercopithecus</em>, but here it is placed in <em>Chlorocebus</em> following Groves (2005) and Groves and Kingdon (2013).<br/><br/>There is a slight north-to-south gradient with regard to sexual dimorphism (males larger in the north) and colour of dorsum, which is yellower in the northern popualtions (Galat <em>et al</em>. 2011, Galat &amp; Galat-Luong 2013). In the Comoé-Leraba Hunting Reserve, some individuals look like <em>C. tantalus</em> monkeys (A. Galat-Luong pers. obs. 2003–2006).&#160;Some individuals on the west bank of the Volta River in Ghana carry <em>C. tantalus</em> mitochondrial haplotypes indicating possible (human induced) hybridization (Haus <em>et al</em>. 2013). Evidence for ancient hybridization between the two species has been found (Svardal <em>et al</em>. 2017).</p><p></p><p></p>  <br/><p></p>"
11186,Lama guanicoe,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CAMELIDAE,Lama,guanicoe,,,,,"(P.L.S. Müller, 1776)","<p><span lang=""EN-GB"">There is strong morphological,&#160;<span lang=""EN-GB"">chromosomal<span lang=""EN-GB"">, molecular, and archaeological evidence demonstrating that the Llama originally began with the domestication of the Guanaco in the Central Andes (Wheeler <em>et al.</em>&#160;2006, Marín<em> et al.</em>&#160;2007), as indicated in the name&#160;<em>Lama glama</em>&#160;first suggested by Linneaus (1758) for designating the Guanaco species (Grubb 2005). Today, the endorsement is clear that&#160;<em>Lama guanicoe</em>&#160;is a valid species for the wild form (Gentry <em>et al.</em>&#160;2004).<br/><span lang=""EN-GB""><br/>Throughout the first half of the 20<sup>th</sup>&#160;Century four morphological Guanaco subspecies (<em>L. g. cacsilensis</em>,&#160;<em>L. g. voglii</em>,&#160;<em>L. g. huanacus</em>,&#160;and&#160;<em>L. g. guanicoe</em>) were described based upon subtle differences in cranium biometrics, pelage colour, and body size (Wheeler 1995, González <em>et al.</em> 2006). However, analysis of Guanaco mitochondrial-DNA markers failed to clearly differentiate four subspecies throughout the wide geographic range of the species.&#160; Yet, genetic analysis did distinguish populations found in Peru and northern Chile, compared to other populations in Argentina, Bolivia, and remainder of Chile (Marín <em>et al.&#160;</em>2008). Additional analysis with DNA-nuclear genes demonstrated the valid existence of two subspecies (<em>L. g. cacsilensis</em>&#160;and&#160;<em>L. g. guanicoe</em>) with the presence of a geographical zone of hybrid populations between both subspecies (Marín <em>et al.&#160;</em>2013).<br/><br/>&#160;<span lang=""EN-GB"">The&#160;<span lang=""EN-GB"">Northwestern<span lang=""EN-GB"">&#160;or&#160;<em>cacsilensis</em>&#160;subspecies is distributed on the western side of the Andes&#160;from the north central to the southern&#160;Peru to the northern extreme of Chile, whereas the Southeastern subspecies or&#160;<em>guanicoe</em>&#160;is found throughout all of Patagonia to the extreme Austral end of the continent. Both lineages apparently formed due to the presence of the Andean altiplano (plateau) that served as a biogeographical and ecological barrier separating the populations to east and west of the Andean continental divide. The hybrid zone came about through genetic flow between the two subspecies where a geographic contact zone existed in the region south of the altiplano in Central Chile, in far northwestern Patagonia, and with an extension northeast into northwestern Argentina and southern Bolivia (Marín <em>et al.</em>&#160;2013).&#160; An alternative to the classification of two subspecies is the possibility they could be considered Evolutionary Significant Units (sensu Moritz 1994, Marín <em>et al.</em>&#160;2013).&#160;<br/><br/>At the current population level at least eight, independent genetic and demographic or Management Units (MUs, according to Moritz 1994 definition) have been identified that should be managed separately in order to maintain their local genetic adaptiveness (Marín <em>et al.</em>&#160;2013): 1) Peruvian Hyper-Arid Desert, 2) Chilean Pre-Andean Altiplano, 3) Chilean Arid Zone and Pre-Puna, 4) Bolivian Chaco, 5) North and Central Patagonia, 6) Patagonia Occidental, 7) Patagonia Austral, and 8) Fueguian Zone.&#160;<span lang=""EN-US"">Guanaco populations in northeast and northcentral Argentina that were not included in Marín <em>et al.</em>&#160;(2013) have yet to be assessed for MU classification.</span>&#160;<br/><br/>Although previous taxonomic classification was based upon phenotypic characteristics&#160;<span lang=""EN-US"">(Wheeler 1995, González <em>et al. </em>2006), there have been no wide-scale studies dealing with morphological variations in the species. Preliminary examination of Guanaco skulls at museums indicates a differentiation between individuals across the continent in Bolivia, Chile, Patagonia, and Tierra del Fuego (Groves and Grubb 2011)<span lang=""EN-GB"">.</span></span></span></span></p><span lang=""EN-GB"">"
44166,Aonyx cinereus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,MUSTELIDAE,Aonyx,cinereus,,,,,"(Illiger, 1815)","The spelling of the species epithet in <em>Aonyx cinerea</em> (Illiger, 1815) was incorrect; the genus name '<em>Aonyx'</em> is masculine&#160; and hence the adjectival species name '<em>cinerea</em>' should be changed to have a masculine ending. The species is now correctly named as <em>A. cinereus&#160;</em>(Illiger, 1815).&#160;Also referred to as <em>Amblonyx cinereus</em> (Illiger, 1815), <em>Amblonyx concolor</em> Rafinesque, 1832 and <em>Amblonyx cinerea</em> by Pocock 1941. Two subspecies were reported (Pocock 1941) (1) <em>A. c. concolor</em> in northeast India, Myanmar extending to Sumatra and (2) <em>A. c. nirnai</em> in the hill ranges of southern India (Hussain <em>et al.</em> 2011)."
40585,Trichosurus vulpecula,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,PHALANGERIDAE,Trichosurus,vulpecula,,,,,"(Kerr, 1792)","Populations from Barrow Island, the edge of the Pilbara, Kimberley, and northern Northern Territory are sometimes considered a separate species (i.e., <i>Trichosurus arnhemensis</i>) (e.g., Groves 2005). Likewise, populations from the Atherton Tablelands are sometimes considered a species (<i>T. johnstonii</i>) (e.g., Flannery 1994, Groves 2005). Usually, however, these populations are considered subspecies of <i>T. vulpecula</i> (e.g., Kerle and How 2008)."
12627,Macropus parma,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Macropus,parma,,,,,"Waterhouse, 1845",
41512,Macropus eugenii,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,MACROPODIDAE,Macropus,eugenii,,,,,"(Desmarest, 1817)","<p>The type locality of <em>Macropus eugenii</em> is Saint Peter Island, South Australia, where it is locally extinct. </p>    <p>Three subspecies have been recognised in the recent past: <em>Macropus eugenii eugenii </em>(mainland South Australia and some islands), <em>Macropus eugenii decres</em> (Kangaroo Island) and <em>Macropus eugenii derbianus</em> (south west Western Australia and Western Australian islands) (Poole <em>et al</em>. 1991). Recent unpublished genetic research has suggested that only two subspecies should be recognised, with Kangaroo Island and South Australian mainland subpopulations being the same subspecies (M. Eldridge <em>pers. comm</em>.):</p>    <p><em>M. e. eugenii</em> is Least Concern;</p><p><em>M. e. derbianus</em> is Least Concern.</p>"
9919,Hemitragus jemlahicus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,BOVIDAE,Hemitragus,jemlahicus,,,,,"(C.H. Smith, 1826)",No subspecies are currently recognized.
41788,Cervus nippon,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Cervus,nippon,,,,,"Temminck, 1838","This species was reviewed by Feldhamer (1980) and Banwell (1999). Native and introduced populations seriously threatened by genetic pollution; numerous populations are of uncertain provenance or have mixed ancestry; the status of <em>C. n. hortulorum</em> is particularly uncertain. Groves (2006) reviewed the species' taxonomy and concluded that four species are involved, <em>C. nippon</em> of southern Japan, <em>C. yesoensis</em> of central and northern Japan, <em>C. taiouanus</em> of Taiwan, and <em>C. hortulorum</em> of the mainland range. However, we consider all of these as subspecies of <em>C. nippon</em>, pending further information. The following subspecies are also widely recognized: <br/><em>C. n. aplodontus</em> (North Honshu Sika);  <br/><em>C. n. mantchuricus</em> (Manchurian Sika): former USSR; <br/><em>C. n. mandarinus</em> (North China Sika) China (considered extinct); <br/><em>C. n. grassianus</em>, (Shansi Sika): China (considered extinct); <br/><em>C. n. sichuanicus</em> (Sichuan Sika): China;  <br/><em>C. n. yesoensis</em> (Hokkaido Sika): Japan; <br/><em>C. n. taiouanus</em> (Formosan or Taiwan Sika): Taiwan; <br/><em>C. n. pseudaxis</em> (Viet Namese or Tonkin Sika): Viet Nam; <br/><em>C. n. kopschi</em>, (South China or Kopschi Sika): China; <br/><em>C. n. keramae</em> (Ryukyu or Kerama Sika): Japan; <br/><em>C. n. pulchellus</em>: Japan - Tsushima Islands."
41789,Rusa timorensis,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Rusa,timorensis,,,,,"(de Blainville, 1822)","<p><span lang=""EN-US"">The classification of Rusas in their own genus as <em>Rusa</em> rather than <em>Cervus</em> was suggested by <span lang=""EN-NZ"">Van Bemmel (1949, cited by Emmerson and Tate 1993) based on the <span lang=""EN-US"">geographic distribution of these animals. While simple geographical or morphological characteristics may not be enough to justify a classification, cervine and rusine deer have different chromosome numbers (cervine: 2n = 66 to 68, rusine: 2n = 56 to 65; Neitzel 1987 and Wang <em>et al. </em>1982, cited by Emmerson and Tate 1993; Gilbert <em>et al. </em>2006; data in Groves and Grubb 2011) and these species do not interbreed. More recently, the division of the genus <em>Cervus </em>into four subgenera including <em>Rusa</em>, and the classification of Rusas in that subgenus was suggested by Groves and Grubb (1987) and has since been supported by extensive genetic studies (<span lang=""EN-NZ"">Meijard and Groves<span lang=""EN-NZ""> <span lang=""EN-US"">2004). <br/></span></span></span></p><p><span lang=""EN-US""><span lang=""EN-NZ""><span lang=""EN-US""><span lang=""EN-NZ""><span lang=""EN-NZ""><span lang=""EN-US""><br/></span></span></span></p>  <p><span lang=""EN-US"">Wilson and Mittermeier (2011) have listed seven <em>timorensis </em>subspecies: <em>R. t. timorensis</em> (Timor), <em>R. t. djonga</em> (Muna and Buton), <em>R. t. floresiensis</em> (Flores), <em>R. t. macassaricus</em> (Sulawesi), <em>R. t. moluccensis</em> (Moluccan Islands), <em>R. t. renschi</em> (Bali), and <em>R. t. russa</em> (Java). Others disagree that <em>R. timorensis</em> can be separated into subspecies and suggest that the apparent differences between the groups listed above are simply due to the genetic effects of small populations, and to environmental effects which have caused the development of phenotypically (but not genetically) different populations. <br/></p><p><span lang=""EN-US""><br/></span></p>  <p><span lang=""EN-US"">However, it has been accepted by several authors (e.g. <span lang=""EN-NZ"">Hill, Thomas and Mackenzie 1987; <span lang=""EN-US"">Dahlan 2009) that Javan (designated <em>R. timorensis russa</em>) and Moluccan (<em>R. t. moluccensis</em>) deer are different subspecies. This distinction has been based in some instances on the origin of the population under consideration, and on differences in size and pelage (Mackenzie 1985, Groves and Grubb 2011), and are therefore inconclusive. However, there are distinct differences in breeding season when the two “breeds” are managed in the same environment (Woodford 1994). That the Moluccan deer may be in the process of evolving away from the Javan “parent “ population is strongly indicated by the work of Emmerson and Tate (1993) who concluded, on the basis of phenetic and cladistic analyses, that Rusas from Java and Molucca should be divided into different subspecies, with a genetic distance (Nei 1972) of about 0.08. The validity of separating the other six subspecies suggested by Grubb (2005) has apparently not been established.</span></p>"
41784,Axis porcinus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Axis,porcinus,,,,,"(Zimmermann, 1780)","Current research suggests that Hog Deer should be included within the genus <em>Hyelaphus</em>, together with <em>calamianensis</em> and <em>kuhlii</em> (Meijaard and Groves 2004, Pitra <em>et al</em>. 2004); it is also sometimes listed under <em>Cervus porcinus</em>. Two subspecies are generally recognized, the nominate and <em>A. p. annamiticus</em> (type locality in Viet Nam), although there has been no recent re-evaluation, and the relative historical distributions of these subspecies and nature of contact between them, if any, remain unclear (Maxwell <em>et al</em>. 2007). A new taxonomy of ungulates treats <em>A. annamiticus</em>&#160;as a species level taxon based on morphology, thus rendering<em>&#160;A. porcinus</em>&#160;monotypic (Groves and Grubb 2011). Confirmation of this arrangement using genetic markers is desirable before it is widely accepted.South Asian and Myanmar populations appear to be spotted when young, while those in southern Viet Nam and Kratie, Cambodia, appear to lack spotting when young (Peacock 1933, Clark undated, R.J. Timmins pers. comm. 2008 based on WWF Cambodia unpublished data and specimens in the AMNH; see also Maxwell <em>et al</em>. 2007)."
41783,Axis axis,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Axis,axis,,,,,"(Erxleben, 1777)",
42393,Odocoileus hemionus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,CERVIDAE,Odocoileus,hemionus,,,,,"(Rafinesque, 1817)","A number of subspecies have been identified (Anderson and Wallmo 1984):
<br><i>O. h. californicus</i> (Caton, 1876) – California Mule Deer;
<br><i>O. h. cerrosensis</i> Merriam, 1898 – Cedros Island Deer;
<br><i>O. h. columbianus</i> (Richardson, 1829) – Columbian Black-tailed Deer;
<br><i>O. h. crooki</i> (Mearns, 1897) (<i>eremicus</i> Mearns and <i>canus</i> Merriam are synonyms), Heffelfinger (2000) considered <i>O. h. eremicus</i> as the correct name for Desert Mule Deer, because the specimen type of this subspecies is a hybrid of Mule Deer and White-tailed Deer;
<br><i>O. h. fuliginatus</i> Cowan, 1933 – Southern Mule Deer;
<br><i>O. h. hemionus</i> (Rafinesque, 1817) – Rocky Mountain Mule Deer;
<br><i>O. h. inyoensis</i> Cowan, 1933 (the validity is questionable) – Inyo Mule Deer;
<br><i>O. h. peninsulae</i> (Lydekker, 1898) – Peninsula Mule Deer;
<br><i>O. h. sheldoni</i> Goldman, 1939 – Tiburon Island Mule Deer;
<br><i>O. h. sitkensis</i> Merriam, 1898 – Sitka Black-tailed Deer."
