"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"132";"Animalia";"Arthropoda";"Insecta";"Rhinotermitidae/Diverse";"Diverse/Unspecified";"Diverse/Unspecified";12,8410500713868;616,370403426566;1;1
"143";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera dorsalis/Bactrocera cucurbitae";12,289406351944;589,891504893312;1;1
"129";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Anthonomus";"Anthonomus grandis";11,3411170168029;544,37361680654;11;11
"231";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Reynoutria";"Reynoutria japonica";10,8334216681381;520,004240070631;22;48
"661";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Diverse/Unspecified";10,1078762561135;485,178060293449;20;107
"105";"Animalia/Plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";9,77399352907331;469,151689395519;20;79
"121";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Leptinotarsa";"Leptinotarsa decemlineata";8,96956742831947;430,539236559335;9;60
"758";"Viruses";"Negarnaviricota";"Monjiviricetes";"Paramyxoviridae";"Orthoavulavirus";"Avian orthoavulavirus 1";8,93743057473404;428,996667587234;3;5
"77";"Animalia";"Chordata";"Mammalia";"Cricetidae";"Ondatra";"Ondatra zibethicus";8,75102417764904;420,049160527154;6;6
"483";"Animalia";"Chordata";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Trichopodus trichopterus/Carassius auratus/Poecilia sphenops/Poecilia reticulata/Danio rerio";8,40142878974518;403,268581907769;3;27
"209";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Hydrilla";"Hydrilla verticillata";8,16266175375494;391,807764180237;9;45
"1";"Animalia";"Chordata";"Mammalia";"Canidae";"Vulpes";"Vulpes vulpes";7,96829733537366;382,478272097936;20;58
"228";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia mearnsii";7,60681961317884;365,127341432584;25;232
"805";"Viruses";"Peploviricota";"Herviviricetes";"Herpesviridae";"Varicellovirus";"Bovine alphaherpesvirus 1";7,40656076142481;355,514916548391;3;18
"90";"Animalia";"Chordata";"Amphibia/Reptilia";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";6,95787141533692;333,977827936172;2;2
"218";"Plantae";"Tracheophyta";"Magnoliopsida";"Verbenaceae";"Lantana";"Lantana camara";6,7521188061056;324,101702693069;52;158
"278";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Diverse/Unspecified";6,35175843214273;304,884404742851;24;86
"166";"Animalia";"Arthropoda";"Insecta";"Lymantriidae";"Teia";"Teia anartoides";6,24007358559758;299,523532108684;4;14
"811";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Solenopsis";"Diverse/Unspecified";6,10278508094903;292,933683885554;1;20
"216";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia spp.";6,09714988692325;292,663194572316;9;39
"619";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera cucurbitae";5,57800510969482;267,744245265351;2;25
"223";"Plantae";"Tracheophyta";"Magnoliopsida";"Mimosaceae";"Prosopis";"Prosopis spp.";4,88758577945373;234,604117413779;10;62
"174";"Animalia";"Arthropoda";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";4,73738913651141;227,394678552547;3;3
"812";"Plantae";"Tracheophyta";"Magnoliopsida";"Orobanchaceae";"Striga";"Striga asiatica";4,68636299829139;224,945423917987;1;37
"541";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia spp.";4,39283335110517;210,856000853048;12;28
"808";"Fungi";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";4,27853222486947;205,369546793735;1;1
"645";"Animalia";"Mollusca";"Gastropoda";"Ampullariidae";"Pomacea";"Pomacea canaliculata";4,17269821091096;200,289514123726;2;33
"27";"Animalia";"Chordata";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";4,03389595933044;193,627006047861;7;19
"646";"Viruses";"Pisuviricota";"Pisoniviricetes";"Picornaviridae";"Aphtovirus";"Aphthae epizooticae";3,8915243758969;186,793170043051;1;13
"180";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Aedes";"Aedes albopictus";3,54114670336768;169,975041761649;40;62
"670";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Sporobolus";"Sporobolus cynosuroides";3,44817785532752;165,512537055721;4;13
"226";"Plantae";"Tracheophyta";"Magnoliopsida";"Meliaceae";"Melia";"Melia azedarach";3,37309150370955;161,908392178058;19;80
"757";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Choristoneura";"Choristoneura fumiferana";3,19358537753562;153,29209812171;14;14
"205";"Plantae";"Chlorophyta";"Ulvophyceae";"Caulerpaceae";"Caulerpa";"Caulerpa taxifolia";3,11673253853285;149,603161849577;9;23
"133";"Animalia";"Arthropoda";"Insecta";"Rhinotermitidae";"Coptotermes";"Coptotermes formosanus";3,11476952140021;149,50893702721;3;3
"789";"Plantae";"Tracheophyta";"Magnoliopsida";"Salicaceae";"Populus";"Diverse/Unspecified";3,10823550882566;149,195304423632;6;71
"87";"Animalia";"Chordata";"Amphibia";"Eleutherodactylidae";"Eleutherodactylus";"Eleutherodactylus coqui";2,87443466412534;137,972863878016;13;33
"796";"Plantae";"Tracheophyta";"Magnoliopsida/Pinopsida";"Fabaceae/Proteaceae/Cactaceae/Pinaceae/Rosaceae/Salicaceae/Myrtaceae";"Pinus/Hakea/Eucalyptus/Acacia/Populus/Salix/Rubus/Opuntia";"Diverse/Unspecified";2,83048673364992;135,863363215196;2;2
"6";"Animalia";"Chordata";"Mammalia";"Muridae";"Mus";"Mus musculus";2,8147103454369;135,106096580971;6;15
"9";"Animalia";"Chordata";"Mammalia";"Myocastoridae";"Myocastor";"Myocastor coypus";2,79017554517298;133,928426168303;22;98
"175";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Anastrepha/Ceratitis";"Anastrepha ludens/Ceratitis capitata";2,77154284276094;133,034056452525;2;2
"170";"Animalia";"Arthropoda";"Insecta";"Noctuidae";"Uraba";"Uraba lugens";2,53074423934472;121,475723488547;2;2
"2";"Animalia";"Chordata";"Mammalia";"Felidae";"Felis";"Felis catus";2,50046318252996;120,022232761438;50;114
"219";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Eucalyptus spp.";2,45585739694837;117,881155053522;4;41
"54";"Animalia";"Chordata";"Mammalia";"Sciuridae";"Sciurus";"Sciurus carolinensis";2,41755648555225;116,042711306508;12;16
"813";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Diverse/Unspecified";2,37258851691493;113,884248811916;1;2
"141";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Phenacoccus";"Phenacoccus manihoti";2,25489898813975;108,235151430708;2;62
"217";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Cereus";"Cereus jamacaru";2,11615840087264;101,575603241887;6;67
"252";"Plantae";"Tracheophyta";"Liliopsida/Magnoliopsida";"Myrtaceae/Anacardiaceae/Rhamnaceae/Dioscoreaceae";"Melaleuca/Schinus/Colubrina/Dioscorea";"Schinus terebinthifolia/Colubrina asiatica/Dioscorea bulbifera";2,06092756105183;98,9245229304878;1;11
"806";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Leucospermum/Laucadendron/Protea";"Diverse/Unspecified";1,92760028511744;92,5248136856371;1;1
"7";"Animalia";"Chordata";"Mammalia";"Bovidae";"Capra";"Capra hircus";1,77210195342593;85,0608937644447;29;53
"229";"Plantae";"Tracheophyta";"Magnoliopsida";"Euphorbiaceae";"Euphorbia";"Euphorbia esula";1,59543741651407;76,5809959926755;10;26
"274";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cenchrus";"Cenchrus ciliaris";1,50090010324783;72,0432049558959;2;4
"642";"Animalia";"Arthropoda";"Insecta";"Agromyzidae";"Liriomyza";"Liriomyza sativae";1,42965441891488;68,6234121079142;1;1
"620";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera dorsalis";1,31561285857122;63,1494172114186;3;32
"494";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Anopheles";"Anopheles darlingi";1,27783078985821;61,3358779131939;1;1
"761";"Animalia";"Arthropoda";"Insecta";"Blattidae/Ectobiidae";"Blatta/Blatella";"Blatta orientalis/Blatella germanica";1,26206640821422;60,5791875942826;2;2
"189";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Elodea";"Elodea canadensis";1,25442090938529;60,2122036504939;10;15
"621";"Animalia";"Arthropoda";"Insecta";"Brenthidae";"Cylas";"Cylas formicarius";1,25440554596587;60,2114662063618;1;19
"88";"Animalia";"Chordata";"Amphibia";"Bufonidae";"Rhinella";"Rhinella marina";1,24545990569489;59,7820754733546;43;194
"124";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Aphis";"Aphis glycines";1,24208442965979;59,6200526236701;4;6
"144";"Animalia";"Arthropoda";"Insecta";"Gracillariidae";"Cameraria";"Cameraria ohridella";1,19816119879533;57,511737542176;2;2
"256";"Plantae";"Tracheophyta";"Magnoliopsida";"Lythraceae";"Lythrum";"Lythrum salicaria";1,18960957795028;57,1012597416133;5;8
"148";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Rastrococcus";"Rastrococcus invadens";1,15062391656006;55,2299479948828;7;17
"230";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea diffusa";1,14255763419106;54,842766441171;7;8
"816";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia dealbata/Acacia mearnsii";1,11569665986501;53,5534396735207;1;15
"522";"Chromista";"Ochrophyta";"Phaeophyceae";"Alariaceae";"Undaria";"Undaria pinnatfida";1,10824128729233;53,1955817900317;6;11
"814";"Animalia";"Platyhelminthes";"Monogenea";"Gyrodactylidae";"Gyrodactylus";"Gyrodactylus salaris";1,06881348570452;51,3030473138171;1;11
"222";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Solanum";"Solanum mauritianum";1,05275545120445;50,5322616578136;7;82
"98";"Animalia";"Chordata";"Aves";"Anatidae";"Oxyura";"Oxyura jamaicensis";1,04983893405727;50,392268834749;17;56
"738";"Plantae";"Tracheophyta";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";1,0163213693143;48,7834257270864;5;31
"131";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera philippinensis";1,00755041999495;48,3624201597574;1;5
"828";"Animalia";"Arthropoda";"Maxillopoda";"Balanidae";"Balanus";"Balanus improvisus";0,997371642741118;47,8738388515737;1;1
"191";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Hydrocotyle";"Hydrocotyle ranunculoides";0,996529909484458;47,833435655254;32;36
"86";"Animalia";"Arthropoda";"Arachnida";"Varroidae";"Varroa";"Varroa destructor";0,986641553467757;47,3587945664523;4;4
"84";"Animalia";"Mollusca";"Gastropoda";"Arionidae";"Arion";"Arion vulgaris";0,983885845388208;47,226520578634;1;1
"147";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Orgyia";"Orgyia thyellina";0,973408246470416;46,72359583058;4;7
"207";"Animalia";"Mollusca";"Bivalvia";"Dreissenidae";"Dreissena";"Dreissena bugensis";0,966078551980757;46,3717704950763;2;2
"28";"Animalia";"Chordata";"Mammalia";"Leporidae/Muridae";"Mus/Oryctolagus/Rattus";"Mus musculus/Oryctolagus cuniculus/Rattus rattus";0,940022480252071;45,1210790520994;2;8
"829";"Animalia";"Mollusca";"Gastropoda";"Arionidae";"Arion";"Arion lusitanicus";0,84974003985689;40,7875219131307;1;1
"60";"Animalia";"Chordata";"Mammalia";"Felidae/Muridae/Phalangeridae";"Felis/Rattus/Trichosurus";"Felis catus/Rattus rattus/Trichosurus vulpecula";0,831058023864095;39,8907851454766;1;1
"337";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Heracleum";"Heracleum mantegazzianum";0,762117858809105;36,581657222837;19;30
"23";"Animalia";"Chordata";"Mammalia";"Mustelidae/Phalangeridae";"Mustela/Trichosurus";"Mustela furo/Trichosurus vulpecula";0,719817849189914;34,5512567611159;2;11
"770";"Chromista";"Oomycota";"Peronosporea";"Peronosporaceae";"Phytophthora";"Phytophthora ramorum";0,70681208061268;33,9269798694086;2;5
"255";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadaceae";"Xanthomonas";"Xanthomonas campestris pv. Citri";0,688827540621097;33,0637219498127;1;22
"179";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Lymantria";"Lymantria dispar/Lymantria monacha";0,683955680831717;32,8298726799224;1;1
"602";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Fallopia";"Fallopia spp.";0,679175298975976;32,6004143508468;3;3
"253";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Melaleuca";"Melaleuca sp.";0,677914371154218;32,5398898154025;8;18
"212";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Spartina";"Spartina sp.";0,642138838868874;30,8226642657059;3;24
"30";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus rattus";0,583557873540667;28,010777929952;18;22
"267";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Nassella";"Nassella trichotoma";0,57981133236828;27,8309439536774;6;10
"190";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Elodea";"Elodea nuttallii";0,578409821518175;27,7636714328724;6;6
"810";"Viruses";"Orthornavirae";NA;"Orthornavirae";"Alphainfluenzavirus";"Avian influenza";0,57529001189029;27,6139205707339;1;1
"211";"Plantae";"Tracheophyta";"Liliopsida/Magnoliopsida";"Pontederiaceae/Haloragaceae";"Eichhornia/Myriophyllum";"Eichhornia crassipes/Myriophyllum sp.";0,553479029415934;26,5669934119648;1;1
"72";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus/Dama/Muntiacus";"Cervus nippon/Dama dama/Muntiacus reevesi";0,551488495693032;26,4714477932655;2;2
"160";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Lobesia";"Lobesia botrana";0,548025618392994;26,3052296828637;1;1
"173";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera papayae";0,539862846662149;25,9134166397831;1;1
"800";"Plantae";"Tracheophyta";"Liliopsida";"Pontederiaceae";"Eichhornia";"Eichhornia sp.";0,50243372577327;24,116818837117;1;1
"232";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia cyclops";0,48599975119057;23,3279880571474;56;111
"69";"Animalia";"Chordata";"Mammalia";"Bovidae";"Hemitragus";"Hemitragus jemlahicus";0,475407211091011;22,8195461323685;2;2
"434";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniaceae";"Salvinia";"Salvinia molesta";0,470804097296756;22,5985966702443;20;59
"70";"Animalia";"Chordata";"Mammalia";"Muridae";"Mus/Rattus";"Mus musculus/Rattus norvegicus";0,45914672784783;22,0390429366959;1;1
"233";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia dealbata";0,456083493408343;21,8920076836005;3;30
"164";"Animalia";"Arthropoda";"Insecta";"Aleyrodidae";"Aleurocanthus";"Aleurocanthus woglumi";0,450940230577378;21,6451310677142;2;44
"153";"Animalia";"Arthropoda";"Insecta";"Lauxaniidae";"Drosophila";"Drosophila suzukii";0,447994269788911;21,5037249498677;3;3
"115";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Cydia";"Cydia pomonella";0,443994954063601;21,3117577950529;6;6
"238";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Hakea";"Hakea sericea";0,431916066328659;20,7319711837756;5;82
"832";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus/Mus";"Rattus norvegicus/Mus musculus";0,429161636291359;20,5997585419852;1;1
"528";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Ambrosia";"Ambrosia polystachya";0,425615499275294;20,4295439652141;9;92
"774";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Xyleborus";"Xyleborus glabratus";0,423885247327453;20,3464918717178;1;8
"202";"Animalia";"Chordata";"Actinopterygii";"Percidae";"Gymnocephalus";"Gymnocephalus cernua";0,409764857369256;19,6687131537243;1;12
"654";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Pinus";"Diverse/Unspecified";0,405161145147796;19,4477349670942;8;141
"712";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericaceae";"Rhododendron";"Rhododendron ponticum";0,400655590948718;19,2314683655385;7;11
"771";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Hakea";"Diverse/Unspecified";0,396776630030677;19,0452782414725;4;41
"604";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiaceae";"Heracleum";"Quercus rubra";0,390000810714035;18,7200389142737;2;11
"279";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Hydrilla";"Hydrilla sp./Unspecified";0,388638070970179;18,6546274065686;1;1
"181";"Plantae";"Tracheophyta";"Magnoliopsida";"Haloragaceae";"Myriophyllum";"Myriophyllum spicatum";0,382370829846024;18,3537998326092;16;85
"807";"Plantae";"Tracheophyta";"Pinopsida/Diverse/Unspecified";"Pinaceae/Diverse/Unspecified";"Pinus/Diverse/Unspecified";"Diverse/Unspecified";0,381296872560509;18,3022498829045;2;18
"701";"Chromista";"Oomycota";"Oomycetes";"Peronosporaceae";"Phytophthora";"Phytophthora ramorum";0,365164116733828;17,5278776032237;21;161
"197";"Plantae";"Tracheophyta";"Magnoliopsida";"Menyanthaceae";"Nymphoides";"Nymphoides peltata";0,360803681349363;17,3185767047694;2;2
"21";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus exulans/Rattus norvegicus/Rattus rattus";0,354852395225666;17,0329149708319;20;20
"83";"Animalia";"Nematoda";"Secernentea";"Aphelenchidae";"Bursaphelenchus";"Bursaphelenchus mucronatus";0,348995059230798;16,7517628430783;3;9
"260";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Parthenium";"Parthenium hysterophorus";0,347672437331636;16,6882769919185;18;58
"236";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Arundo";"Arundo donax";0,338351739852495;16,2408835129198;162;230
"106";"Animalia";"Arthropoda";"Arachnida/Insecta";"Aleyrodidae/Apidae/Aphididae/Tarsonemidae/Tephritidae/Thripidae";"Acarapis/Apis/Ceratitis/Diuraphis/Taeniothrips";"Acarapis woodi/Apis mellifera scutellata/Bemisia tabaci/Ceratitis capitata/Diuraphis noxia/Taeniothrips inconsequens";0,3358286763292;16,1197764638016;1;1
"101";"Animalia";"Chordata";"Aves";"Sturnidae";"Sturnus";"Sturnus vulgaris";0,325385493898472;15,6185037071267;2;6
"244";"Animalia";"Arthropoda";"Arachnida/Insecta";"Aphididae/Aleyrodidae/Tephritidae/Thripidae/Tarsonemidae";"Diuraphis/Bemisia/Ceratitis/Taeniothrips/Acarapis";"Diuraphis noxia/Bemisia tabaci/Ceratitis capitata/Taeniothrips inconsequens/Acarapis woodi";0,31815348283819;15,2713671762331;1;1
"150";"Animalia";"Arthropoda";"Insecta";"Notodontidae";"Thaumetopoea";"Thaumetopoea pityocampa";0,314991641979273;15,1195988150051;1;5
"5";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus spp.";0,313940177200135;15,0691285056065;3;3
"33";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus sp.";0,308510624640197;14,8085099827295;47;47
"779";"Animalia";"Arthropoda";"Insecta";"Chironomidae";"Chironomus/Glyptotenpides";"Chironomus crassicaudatus/Glyptotendipes paripes";0,294898440006417;14,155125120308;1;1
"288";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cenchrus";"Cenchrus setaceus";0,294351910903816;14,1288917233832;88;131
"48";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus familiaris/Canis lupus dingo";0,292106191514973;14,0210971927187;1;6
"277";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Opuntia";"Opuntia aurantiaca";0,277002252091918;13,2961081004121;9;40
"145";"Animalia";"Arthropoda";"Insecta";"Pyralidae";"Ephestia";"Ephestia kuehniella";0,257371816692158;12,3538472012236;5;5
"50";"Animalia";"Chordata";"Mammalia";"Canidae/Leporidae/Suidae";"Canis/Oryctolagus/Sus";"Canis lupus spp./Oryctolagus cuniculus/Sus scrofa";0,249148967294799;11,9591504301503;1;1
"192";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Lagarosiphon";"Lagarosiphon major";0,246674296031836;11,8403662095281;11;32
"176";"Animalia";"Arthropoda";"Insecta";"Bostrichidae";"Prostephanus";"Prostephanus truncatus";0,246262118632318;11,8205816943512;11;36
"195";"Animalia";"Arthropoda";"Malacostraca";"Astacidae";"Pacifastacus";"Pacifastacus leniusculus";0,244510558542746;11,7365068100518;29;29
"186";"Plantae";"Tracheophyta";"Polypodiopsida";"Salviniaceae";"Azolla";"Azolla filiculoides";0,235114422292304;11,2854922700306;52;84
"797";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginaceae";"Echium";"Echium plantagineum/Echium vulgare/Echium/italicum/Echium simplex";0,215945138664859;10,3653666559133;1;31
"146";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Maconellicoccus";"Maconellicoccus hirsutus";0,214100647060223;10,2768310588907;5;7
"157";"Animalia";"Arthropoda";"Insecta";"Apidae";"Apis";"Apis mellifera";0,212215391292192;10,1863387820252;3;6
"71";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus/Hydropotes/Muntiacus";"Cervus nippon/Hydropotes inermis";0,209448728279178;10,0535389574005;1;1
"63";"Animalia";"Chordata";"Mammalia";"Equidae";"Equus";"Equus asinus/Equus caballus";0,206515153610846;9,91272737332062;3;19
"792";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanaceae";"Solanum";"Solanum viarum";0,205498284059672;9,86391763486424;1;1
"237";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Caesalpinia";"Caesalpinia decapetala";0,20040048085069;9,6192230808331;3;44
"550";"Plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Rubus alceifolius/Ligustrum robustum/Acacia mearnsii/Hedychium gardnerianum/Clidemia hirta/Pycnonotus jocosus/Ulex europaeus/Fraxinus floribunda";0,200335232218064;9,61609114646705;1;6
