"";"ED";"ES"
"Monodelphis brevicaudata";5,7645141069439e-05;9,33207663987677e-06
"Monodelphis americana";5,62283235918373e-05;3,41026944578341e-06
"Monodelphis adusta";5,47017073991844e-05;1,30479776186772e-07
"Monodelphis maraxina";5,65239092660642e-05;9,44480662211046e-06
"Monodelphis iheringi";5,99722849196535e-05;4,64774874137999e-06
"Philander andersoni";6,59538841836427e-05;6,59243920879609e-06
"Philander opossum";9,01347800443065e-05;0,000172264433304849
"Philander mcilhennyi";6,59538841836427e-05;1,31848784175922e-05
"Philander frenatus";8,36654343114659e-05;9,34147169732394e-05
"Thylamys pusillus";5,64286459910914e-05;2,55142383476512e-05
"Thylamys venustus";5,51829260979551e-05;1,74133692233122e-06
"Thylamys tatei";5,51829260979551e-05;1,74133692233122e-06
"Thylamys sponsorius";5,51829260979551e-05;3,48267384466243e-06
"Thylamys velutinus";5,58134361862499e-05;7,71397398126828e-06
"Thylamys macrurus";5,66368299230762e-05;8,86110760147516e-06
"Thylamys karimii";5,51829260979551e-05;6,96534768932486e-06
"Thylamys cinderella";5,51829260979551e-05;1,39306953786497e-05
"Thylamys elegans";5,52971200527024e-05;3,50099158494487e-06
"Thylamys pallidior";5,59998224704628e-05;7,71626425354732e-06
"Tlacuatzin canescens";5,50867584206201e-05;1,58013057946504e-05
"Caenolestes caniventer";5,39542405359696e-05;1,71897714232771e-15
"Caenolestes condorensis";5,52417692131252e-05;4,17081837891034e-06
"Caenolestes convelatus";5,39542405359696e-05;3,43795428465543e-15
"Caenolestes fuliginosus";5,60677681073995e-05;2,54393599174238e-05
"Lestoros inca";5,50322958445201e-05;4,00252388487793e-06
"Rhyncholestes raphanurus";5,47032790800249e-05;4,79526004981101e-07
"Dromiciops gliroides";5,59246880066413e-05;1,40161185641666e-05
"Notoryctes caurinus";5,53020114155512e-05;1,12544425057481e-06
"Notoryctes typhlops";5,49145177976362e-05;7,78159431453474e-09
"Myrmecobius fasciatus";8,38560024001903e-05;9,68223125408125e-05
"Dasycercus cristicauda";5,85986906198e-05;7,60526793446903e-09
"Dasykaluta rosamondae";5,60018203894723e-05;1,34485606638233e-05
"Dasyuroides byrnei";6,52083943744521e-05;3,40451449368353e-05
"Dasyurus spartacus";9,53696007526314e-05;9,88383593233417e-05
"Dasyurus albopunctatus";9,14720858161926e-05;5,32483481233638e-05
"Dasyurus viverrinus";9,72206078833517e-05;0,000113174442726092
"Dasyurus geoffroii";9,09155856519986e-05;7,10247795170974e-06
"Dasyurus maculatus";0,000109182909127447;1,80472498057065e-06
"Dasyurus hallucatus";9,62359782970996e-05;0,000343774077653681
"Myoictis melas";5,92142138148846e-05;2,0054287604147e-09
"Myoictis wallacii";5,92142138148846e-05;2,0054287604147e-09
"Neophascogale lorentzi";6,34228056882712e-05;9,9436796647997e-06
"Parantechinus apicalis";5,93706367451432e-05;2,96308039174468e-05
"Phascolosorex doriae";6,33597052568816e-05;5,36921413940754e-05
"Phascolosorex dorsalis";6,29691824717167e-05;5,02448191677343e-05
"Pseudantechinus bilarni";5,54592409727727e-05;4,63297095714973e-05
"Pseudantechinus woolleyae";5,39542405359696e-05;6,87590856931085e-15
"Pseudantechinus roryi";5,50026570676698e-05;6,5530432436042e-06
"Pseudantechinus ningbing";5,40346545881449e-05;1,01931945534924e-12
"Pseudantechinus macdonnellensis";5,51982277465516e-05;2,93057177652954e-07
"Pseudantechinus mimulus";5,59629717401399e-05;1,71917281542018e-06
"Sarcophilus harrisii";0,000149213793563671;2,23313971793713e-05
"Antechinus leo";5,7122477684357e-05;2,66598743446217e-06
"Antechinus subtropicus";5,76058243028177e-05;3,47738428493182e-05
"Antechinus stuartii";5,49360403285673e-05;1,04165772680032e-07
"Antechinus minimus";5,58073421151274e-05;2,15468848571626e-06
"Antechinus flavipes";5,63573405174378e-05;4,20129314074579e-06
"Antechinus bellus";5,82989124345457e-05;9,2641698428676e-06
"Antechinus agilis";5,57259277913471e-05;1,38605027746137e-05
"Antechinus adustus";5,40278023860622e-05;2,25116194084669e-09
"Antechinus swainsonii";5,69593229394204e-05;1,48941849362163e-05
"Antechinus godmani";5,60309673164516e-05;6,36821445281611e-07
"Micromurexia habbema";5,69140987004068e-05;9,44420645486865e-06
"Murexechinus melanurus";5,48921442887043e-05;8,61452479239933e-06
"Murexia longicaudata";6,28373427019964e-05;1,53610212686824e-05
"Paramurexia rothschildi";5,680539710941e-05;8,71959892142389e-06
"Phascomurexia naso";5,5267260968592e-05;3,03591236820172e-06
"Phascogale calura";5,82471671846159e-05;1,74802956680548e-05
"Phascogale tapoatafa";6,78763437150112e-05;6,35695301387006e-05
"Antechinomys laniger";5,66029991243414e-05;1,61227816896989e-05
"Ningaui yvonnae";5,37620718483538e-05;9,58211338282066e-11
"Ningaui ridei";5,55019602684652e-05;1,77821296073786e-06
"Ningaui timealeyi";5,56395085683812e-05;6,18378549453625e-06
"Sminthopsis griseoventer";5,61883165985419e-05;2,04837618061755e-06
"Sminthopsis virginiae";5,51621020187881e-05;4,0209875655274e-06
"Sminthopsis psammophila";5,60586538387849e-05;8,66540759593956e-06
"Sminthopsis ooldea";5,38806408847911e-05;1,48393380945752e-08
"Sminthopsis murina";5,5888341508838e-05;8,6024866382608e-07
"Sminthopsis macroura";5,40346545881449e-05;1,01931945534924e-12
"Sminthopsis longicaudata";5,57953045351361e-05;2,20259309660292e-07
"Sminthopsis leucopus";5,51970713127356e-05;4,7581415452886e-07
"Sminthopsis douglasi";5,49145177976362e-05;7,78159431453474e-09
"Sminthopsis hirtipes";5,43315864684752e-05;2,74838781868101e-08
"Sminthopsis youngsoni";5,41507866792998e-05;1,94844859180457e-06
"Sminthopsis fuliginosus";5,47535383520399e-05;4,27853428700298e-06
"Sminthopsis dolichura";5,57461361057877e-05;1,20986749721935e-05
"Sminthopsis crassicaudata";5,43315864684752e-05;5,49677563736202e-08
"Sminthopsis butleri";5,42978507111491e-05;3,05488473115097e-09
"Sminthopsis boullangerensis";5,47535383520399e-05;4,27853428700298e-06
"Sminthopsis bindi";5,61883165985419e-05;2,04837618061755e-06
"Sminthopsis archeri";5,56467132183793e-05;3,93760105124738e-07
"Sminthopsis aitkeni";5,62945417853725e-05;1,37217538764551e-05
"Sminthopsis granulipes";5,42978507111491e-05;3,05488473115097e-09
"Sminthopsis gilberti";5,62283235918373e-05;6,82053889156682e-06
"Planigale gilesi";5,46473981991925e-05;4,02830890740283e-06
"Planigale tenuirostris";5,43534966331121e-05;3,61467335851364e-10
"Planigale novaeguineae";5,59998224704628e-05;7,71626425354732e-06
"Planigale ingrami";5,78194714566605e-05;2,44920936787061e-05
"Planigale maculata";5,38806408847911e-05;1,48393380945752e-08
"Macrotis lagotis";8,79697600848589e-05;3,36154944340465e-05
"Macrotis leucura";7,34966564585165e-05;0,00019064282631989
"Isoodon auratus";7,738069850901e-05;1,13784387813152e-05
"Isoodon macrourus";0,00010103829679595;5,57785723240928e-05
"Isoodon obesulus";8,77044838515653e-05;5,19425554873155e-05
"Perameles nasuta";0,000102185695671478;0,00011436464374545
"Perameles gunnii";9,81650448894237e-05;0,000104990243794544
"Perameles eremiana";7,30139034840178e-05;6,1479640901547e-09
"Perameles bougainville";6,36361292274229e-05;5,33217057506785e-05
"Peroryctes raffrayana";9,96129944381519e-05;5,81030765133214e-05
"Peroryctes broadbenti";0,000126656062524579;6,10519970432833e-05
"Echymipera clara";8,62472842591024e-05;4,31349487966502e-05
"Echymipera davidi";8,94434486570012e-05;1,53768393848932e-05
"Echymipera echinista";7,86137848143395e-05;2,38978537275145e-07
"Echymipera kalubu";9,80313691730557e-05;0,000103858977212181
"Echymipera rufescens";9,09155856519986e-05;7,10247795170974e-06
"Microperoryctes longicauda";8,41236567013214e-05;9,30146818263463e-05
"Microperoryctes murina";8,97646757969817e-05;9,12623960529378e-05
"Microperoryctes papuensis";6,30994816868508e-05;2,64909785751761e-05
"Rhynchomeles prattorum";8,97646757969817e-05;9,12623960529378e-05
"Phascolarctos cinereus";0,000156086629178795;0,000340195178884014
"Lasiorhinus krefftii";0,000112010670172423;2,91569392780924e-05
"Lasiorhinus latifrons";0,000530007361826325;0,000992627021586905
"Vombatus ursinus";0,000416572219764695;0,000138940089857289
"Burramys parvus";5,70181059054846e-05;2,57868915181634e-05
"Cercartetus nanus";5,43296359119693e-05;1,44534421816147e-08
"Cercartetus caudatus";5,42978507111491e-05;6,10976946230194e-09
"Cercartetus concinnus";5,48629159562668e-05;2,14243505618609e-07
"Cercartetus lepidus";5,37620718483538e-05;9,58211338282066e-11
"Ailurops melanotis";0,000149213793563671;2,23313971793713e-05
"Ailurops ursinus";0,000149213793563671;4,46627943587427e-05
"Phalanger lullulae";0,000107107760039274;0,00012424268952711
"Phalanger vestitus";0,000101898184834801;5,58563148200868e-05
"Phalanger sericeus";9,52376829440959e-05;0,000110637199720012
"Phalanger rothschildi";9,86607064604288e-05;6,58577509841002e-05
"Phalanger ornatus";0,000106093340487689;6,28580491947835e-05
"Phalanger orientalis";0,000135028652304869;0,000410581480223553
"Phalanger mimicus";9,76159076199703e-05;1,39640787050217e-05
"Phalanger matabiru";9,76159076199703e-05;1,39640787050217e-05
"Phalanger intercastellanus";0,000101521313287243;3,62629390670531e-05
"Phalanger gymnotis";0,000131808085897199;0,000342833181916323
"Phalanger carmelitae";9,85253753657693e-05;3,06143996810787e-05
"Phalanger alexandrae";9,76159076199703e-05;2,79281574100434e-05
"Phalanger matanim";9,99019834881629e-05;5,59171495803478e-05
"Spilocuscus rufoniger";0,000117141654110551;1,56413327518697e-05
"Spilocuscus kraemeri";0,000117047432199137;0,000113952057662228
"Spilocuscus maculatus";0,000134427806404988;0,000235344779284578
"Spilocuscus papuensis";0,000117047432199137;0,000113952057662228
"Strigocuscus celebensis";7,30139034840178e-05;6,1479640901547e-09
"Strigocuscus pelengensis";7,30139034840178e-05;1,22959281803094e-08
"Trichosurus arnhemensis";8,50365918737891e-05;1,41706415866846e-05
"Trichosurus caninus";0,000117933142553426;1,37235347534134e-05
"Trichosurus cunninghami";0,000125388655221849;9,44587910639502e-05
"Trichosurus johnstonii";0,000125388655221849;9,44587910639502e-05
"Trichosurus vulpecula";0,000112719725187328;9,56042323663328e-05
"Wyulda squamicaudata";0,000106274320130266;0,000112976543745894
"Hemibelideus lemuroides";9,44511625318388e-05;6,14772948395309e-05
"Petauroides volans";8,50365918737891e-05;1,41706415866846e-05
"Petropseudes dahli";9,92775637715267e-05;6,21317899737743e-05
"Pseudocheirus peregrinus";8,17671439589734e-05;3,15995289466071e-06
"Pseudochirulus caroli";8,21932663157939e-05;5,01082256058635e-05
"Pseudochirulus schlegeli";6,1799953355115e-05;9,3866426996833e-06
"Pseudochirulus mayeri";6,07213927544827e-05;8,76524651468711e-06
"Pseudochirulus larvatus";8,47254382066908e-05;9,41771700453365e-05
"Pseudochirulus herbertensis";9,45322658870604e-05;0,000113612383720189
"Pseudochirulus forbesi";9,4723862479935e-05;0,000102570458076065
"Pseudochirulus cinereus";0,000102185695671478;0,00011436464374545
"Pseudochirulus canescens";6,06613014971945e-05;5,89320070153714e-07
"Pseudochirops albertisii";9,80313691730557e-05;0,000103858977212181
"Pseudochirops archeri";9,58632014415613e-05;5,70531510586721e-05
"Pseudochirops corinnae";0,000115426092646174;0,000212295558644647
"Pseudochirops coronatus";8,31614233920439e-05;6,5245234124137e-09
"Pseudochirops cupreus";0,000141466662694304;0,000425242474264968
"Dactylopsila tatei";6,07999452055317e-05;4,00775136947972e-06
"Dactylopsila trivirgata";9,50120118402116e-05;0,000189044476177362
"Dactylopsila palpator";7,8478549829754e-05;4,96699387068655e-05
"Dactylopsila megalura";6,30463358144441e-05;5,27890208470341e-05
"Gymnobelideus leadbeateri";5,94347999417347e-05;6,7250990989611e-06
"Petaurus abidi";6,17704883927294e-05;3,34194665930516e-06
"Petaurus breviceps";6,1373165406808e-05;2,92491333069622e-05
"Petaurus norfolcensis";6,23479873806133e-05;6,7419978172207e-06
"Petaurus australis";8,62270399996794e-05;4,65880244927558e-05
"Petaurus gracilis";7,14641306634897e-05;9,7067341989977e-05
"Petaurus biacensis";6,08056183528918e-05;3,11458592753454e-05
"Tarsipes rostratus";5,4002289059369e-05;6,12069667682621e-08
"Acrobates pygmaeus";5,48012618631615e-05;9,10593060481027e-08
"Distoechurus pennatus";5,85735921382323e-05;9,09711722595349e-06
"Lagorchestes leporides";0,000101157080180291;2,93868068882985e-06
"Lagorchestes hirsutus";8,82689239550915e-05;7,06510342743357e-05
"Lagorchestes conspicillatus";0,000112434806828391;9,68336397910514e-05
"Lagorchestes asomatus";8,31614233920439e-05;6,5245234124137e-09
"Macropus fuliginosus";0,000338160527070544;9,26297897012441e-05
"Macropus giganteus";0,000445985249232481;0,000522534758625198
"Macropus parryi";0,000189170185644559;8,61037041989071e-05
"Macropus dorsalis";0,000335567964541201;0,00240370151414246
"Macropus eugenii";0,000121610011016971;1,25986201628213e-05
"Macropus greyi";0,000149213793563671;8,93255887174854e-05
"Macropus parma";0,000122930617221763;2,78441577329105e-05
"Macropus agilis";0,000446094821513395;0,000397637048725126
"Macropus rufogriseus";0,000388773791267539;0,000331410608323998
"Macropus irma";0,000131046557959834;1,22977343743392e-05
"Macropus antilopinus";0,000442632105520155;0,000916869708992826
"Macropus robustus";0,000373288951442589;0,000439130857488414
"Macropus bernardus";0,000336646492785562;4,531019414514e-05
"Macropus rufus";0,000446129177239834;0,000854823886542363
"Dendrolagus inustus";0,000201874998453831;0,00120850189448242
"Dendrolagus lumholtzi";0,000152136279940077;0,000362746562547529
"Dendrolagus matschiei";0,000127926662721596;0,000106618606920828
"Dendrolagus mbaiso";0,000159485465523129;0,000342427461644139
"Dendrolagus pulcherrimus";0,000140838369339747;9,12832818087082e-05
"Dendrolagus scottae";0,000171790799539151;0,000338104097269885
"Dendrolagus spadix";0,000150766086185633;5,82227957415596e-05
"Dendrolagus stellarum";0,000140838369339747;9,12832818087082e-05
"Dendrolagus ursinus";0,000284235037223401;0,00128950250738329
"Dendrolagus bennettianus";0,000202862948750333;0,000658785152518088
"Dendrolagus dorianus";0,00016491032244748;0,000357435732879798
"Dendrolagus goodfellowi";0,000139870455362358;0,000198847023643262
"Dorcopsis luctuosa";0,000123500352720703;0,000101451193800958
"Dorcopsis muelleri";0,000109182909127447;1,80472498057065e-06
"Dorcopsis hageni";0,000109182909127447;3,60944996114129e-06
"Dorcopsis atrata";0,000144193450994438;9,75239590794142e-05
"Dorcopsulus vanheurni";0,000106093340487689;6,28580491947835e-05
"Dorcopsulus macleayi";0,00011673110023934;0,0003761027817173
"Onychogalea unguifera";0,000159189445365581;0,000216140447049035
"Onychogalea lunata";0,000117933142553426;1,37235347534134e-05
"Onychogalea fraenata";0,000109182909127447;7,21889992228258e-06
"Petrogale purpureicollis";0,00014023222238041;9,35627304653869e-05
"Petrogale coenensis";0,000115856555827129;1,77616802331349e-05
"Petrogale burbidgei";8,50389645555494e-05;2,46972902439157e-05
"Petrogale brachyotis";0,000120923238326664;0,000107566678132936
"Petrogale assimilis";0,000122930617221763;2,78441577329105e-05
"Petrogale godmani";0,000122138983274787;2,91159872169203e-05
"Petrogale xanthopus";0,00012307701842613;9,0986400743352e-05
"Petrogale sharmani";0,000115856555827129;1,77616802331349e-05
"Petrogale herberti";0,000115856555827129;3,55233604662699e-05
"Petrogale inornata";0,000142564412299461;0,000229451681724863
"Petrogale lateralis";0,000148531210570072;0,000135601134517507
"Petrogale mareeba";0,000115856555827129;7,10467209325398e-05
"Petrogale concinna";9,52810001340313e-05;2,69097791076182e-05
"Petrogale persephone";0,000176954192468606;0,000386202864327309
"Petrogale rothschildi";0,000162093057197519;0,000376887466829995
"Petrogale penicillata";0,00013029365918499;9,7859115705176e-05
"Setonix brachyurus";0,000112040760126233;2,36517875812058e-05
"Thylogale calabyi";0,000125236329537787;6,68740818966405e-05
"Thylogale browni";0,000114759884216197;5,92856515402741e-05
"Thylogale thetis";0,000154641692800888;0,000142958077679804
"Thylogale stigmatica";0,000142564412299461;0,000229451681724863
"Thylogale lanatus";0,000128913086109986;0,000232862782972872
"Thylogale brunii";0,000171707937230825;0,000410466303701903
"Thylogale billardierii";0,000125690859385663;0,000217012468821677
"Wallabia bicolor";0,000446094821513395;0,000397637048725126
"Lagostrophus fasciatus";0,000119500244077397;0,000113320965987078
"Hypsiprymnodon moschatus";8,34581495200748e-05;8,63166127130123e-05
"Aepyprymnus rufescens";0,000112040760126233;2,36517875812058e-05
"Bettongia lesueur";8,31614233920439e-05;1,30490468248274e-08
"Bettongia penicillata";8,50365918737891e-05;2,83412831733691e-05
"Bettongia tropica";8,50389645555494e-05;2,46972902439157e-05
"Bettongia gaimardi";9,53604713337769e-05;3,40666077042991e-05
"Caloprymnus campestris";8,17671439589734e-05;3,15995289466071e-06
"Potorous platyops";7,30139034840178e-05;2,45918563606188e-08
"Potorous gilbertii";0,000114932788782373;0,000385493181349889
"Potorous longipes";0,000102781947136333;5,04930568644316e-05
"Potorous tridactylus";9,09155856519986e-05;1,42049559034195e-05
"Geogale aurita";5,37620718483538e-05;1,91642267656413e-10
"Limnogale mergulus";6,20565180655794e-05;6,004728617632e-05
"Microgale longicaudata";5,5078087951827e-05;3,39718826141723e-06
"Microgale thomasi";5,52817673698148e-05;6,02652980415696e-06
"Microgale talazaci";5,51110465171908e-05;2,4829664414779e-07
"Microgale taiva";5,98570506039351e-05;9,04094871397235e-05
"Microgale soricoides";5,51230408040367e-05;6,99931378338197e-06
"Microgale pusilla";6,33872482965436e-05;1,48989047304589e-05
"Microgale principula";5,41936144996849e-05;2,20108760331955e-06
"Microgale parvula";6,33872482965436e-05;1,48989047304589e-05
"Microgale monticola";5,58623755115789e-05;2,63510244794702e-05
"Microgale gymnorhyncha";5,73904568780536e-05;1,36953869856535e-05
"Microgale gracilis";5,50397326960541e-05;3,29535402801549e-06
"Microgale fotsifotsy";5,43744573759568e-05;1,38788640212628e-05
"Microgale dryas";5,39542405359696e-05;1,37518171386217e-14
"Microgale drouhardi";5,39430741885153e-05;2,41944610674882e-06
"Microgale dobsoni";5,45650792602861e-05;2,69205308617893e-07
"Microgale cowani";5,59113582580527e-05;1,30818629290014e-05
"Microgale brevicaudata";5,4819327307026e-05;7,39575540410158e-06
"Microgale nasoloi";5,66682485896448e-05;2,61637258580028e-05
"Oryzorictes hova";5,40427697290052e-05;1,03484439206764e-09
"Oryzorictes tetradactylus";5,40278023860622e-05;2,25116194084669e-09
"Micropotamogale lamottei";5,7645141069439e-05;9,33207663987677e-06
"Micropotamogale ruwenzorii";6,52187750244261e-05;2,90129600194505e-05
"Potamogale velox";0,000103672144644762;0,000185252362537778
"Echinops telfairi";6,4005467830052e-05;1,35221205987476e-05
"Hemicentetes semispinosus";6,2273676830764e-05;2,60772727908504e-05
"Hemicentetes nigriceps";6,05364988456109e-05;5,78903260785474e-05
"Setifer setosus";6,90867172043024e-05;5,8098996128461e-05
"Tenrec ecaudatus";9,81650448894237e-05;0,000104990243794544
"Carpitalpa arendsi";5,562431324144e-05;4,83916629225099e-06
"Chlorotalpa duthieae";5,55313068040173e-05;7,15179090308581e-06
"Chlorotalpa sclateri";5,55182732474968e-05;1,57989138337954e-06
"Chrysochloris asiatica";5,55125752473448e-05;1,07405785029393e-06
"Chrysochloris visagiei";5,51085706923549e-05;8,54195295389673e-09
"Chrysochloris stuhlmanni";5,48922061033462e-05;7,53918227058899e-06
"Chrysospalax trevelyani";8,06398118728293e-05;8,97381177370641e-05
"Chrysospalax villosus";6,04383351168407e-05;1,62371468913419e-05
"Cryptochloris zyli";5,42978507111491e-05;1,22195389246039e-08
"Cryptochloris wintoni";5,42978507111491e-05;2,44390778492078e-08
"Eremitalpa granti";5,86750598506201e-05;5,47386588764478e-05
"Amblysomus corriae";5,49223989113498e-05;9,48722615063037e-08
"Amblysomus hottentotus";5,49223989113498e-05;9,48722615063037e-08
"Amblysomus marleyi";5,49223989113498e-05;1,89744523012607e-07
"Amblysomus robustus";5,49223989113498e-05;3,79489046025215e-07
"Amblysomus septentrionalis";5,49223989113498e-05;7,5897809205043e-07
"Calcochloris obtusirostris";5,51561955043605e-05;7,39992025525907e-06
"Calcochloris leucorhinus";5,55313068040173e-05;7,15179090308581e-06
"Calcochloris tytonis";5,55313068040173e-05;1,43035818061716e-05
"Neamblysomus julianae";5,4495225207222e-05;6,97041906543383e-06
"Neamblysomus gunningi";5,50870361670793e-05;2,91337990832226e-05
"Elephantulus rupestris";5,77172016101597e-05;4,60054364053271e-06
"Elephantulus brachyrhynchus";5,50095112893437e-05;5,79679159768141e-07
"Elephantulus edwardii";5,51110465171908e-05;4,9659328829558e-07
"Elephantulus fuscipes";5,59340818850236e-05;5,71610684465354e-07
"Elephantulus fuscus";5,56729196725394e-05;5,65799026771279e-06
"Elephantulus intufi";5,58386363466686e-05;4,30085250491238e-06
"Elephantulus myurus";5,56781855077423e-05;5,11644681545586e-06
"Elephantulus revoili";5,51982277465516e-05;2,93057177652954e-07
"Elephantulus rozeti";5,51110465171908e-05;9,93186576591159e-07
"Elephantulus rufescens";5,55378032525367e-05;2,05959273385263e-06
"Macroscelides proboscideus";5,58263299919621e-05;5,27659962189301e-06
"Petrodromus tetradactylus";6,57939009895626e-05;5,28278240166424e-05
"Rhynchocyon chrysopygus";8,10671930776779e-05;2,3249759982205e-05
"Rhynchocyon cirnei";8,37931796934057e-05;4,83759537572416e-05
"Rhynchocyon petersi";8,12383096017757e-05;9,10275102505214e-05
"Orycteropus afer";0,000392325774891431;9,80090499293969e-05
"Dendrohyrax arboreus";0,00011200587255624;5,66823342532678e-05
"Dendrohyrax dorsalis";0,000131928240040812;0,000110707033629297
"Heterohyrax brucei";0,000127794980323892;0,000187356034300807
"Procavia capensis";0,000117160463548599;0,000102193808975732
"Elephas maximus";0,00570552754011002;0,00334884472693314
"Loxodonta africana";0,010764945270497;0,0147200865709792
"Loxodonta cyclotis";0,00780718939109533;0,0128770034069243
"Dugong dugon";0,00126664084501403;0,00210619588128802
"Trichechus inunguis";0,00299123614186937;0,00724415820176168
"Trichechus manatus";0,00148822428475253;0,00226139463315561
"Trichechus senegalensis";0,00215429435056793;0,00442330257420139
"Dasypus septemcinctus";0,000128013382784207;0,000398997227347287
"Dasypus yepesi";0,000121873916288135;0,000173473955672165
"Dasypus sabanicola";9,48342425858738e-05;0,000108395442511731
"Dasypus pilosus";0,000168518109450748;0,000448029420288883
"Dasypus novemcinctus";0,000121440366751822;7,53464781312918e-05
"Dasypus kappleri";0,000139041221291057;2,28272972600167e-05
"Dasypus hybridus";8,31614233920439e-05;2,60980936496548e-08
"Calyptophractus retusus";5,95814297065195e-05;6,99303483630717e-06
"Chaetophractus nationi";0,000104277031270175;5,56733400512685e-05
"Chaetophractus vellerosus";0,000157610475978714;0,000765571772197357
"Chaetophractus villosus";0,000131049460113461;0,000114535698305227
"Chlamyphorus truncatus";6,035997434732e-05;3,39705140825973e-05
"Euphractus sexcinctus";0,000138645529808984;0,000238099975229036
