"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"301";"Animalia";"Chordata";"Cephalaspidomorphi";"Petromyzontidae";"Petromyzon";"Petromyzon marinus";50,2840816197864;2413,63591774975;12;12
"117";"Animalia";"Chordata";"Aves";"Sturnidae";"Sturnus";"Sturnus vulgaris";48,822224989481;2343,46679949509;12;16
"875";"Viruses";"Kitrinoviricota";"Tolucaviricetes";"Tombusviridae";"Machlomovirus";"Maize chlorotic mottle virus";48,7560911986779;2340,29237753654;1;1
"763";"Fungi";"Basidiomycota";"Ustilaginomycetes";"Glomosporiaceae";"Thecaphora";"Thecaphora solani";48,2580136910067;2316,38465716832;1;2
"764";"Viruses";NA;NA;"Tymoviridae";"Tymovirus";"Andean <U+0440>otato latent tymovirus";48,2580136910067;2316,38465716832;1;2
"769";"Animalia";"Arthropoda";"Insecta";"Diaspididae";"Pseudaulacaspis";"Pseudaulacaspis pentagona";46,3947699191531;2226,94895611935;1;2
"175";"Animalia";"Arthropoda";"Insecta";"Muscidae";"Haematobia";"Haematobia irritans";46,1312367012154;2214,29936165834;1;1
"768";"Animalia";"Nematoda";"Diverse/Unspecified";"Meloidogynidae";"Meloidogyne";"Meloidogyne chitwoodi";45,0904992788556;2164,34396538507;1;2
"163";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Diabrotica";"Diabrotica barberi/Diabrotica undecimpunctata/Diabrotica virgifera";44,9430845862366;2157,26806013936;1;1
"259";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Lymantria";"Lymantria monacha";44,4830835027102;2135,18800813009;1;18
"73";"Animalia";"Chordata";"Mammalia";"Muridae";"Mus/Rattus";"Mus musculus/Rattus norvegicus";44,2820515648536;2125,53847511297;3;3
"373";"Animalia";"Nematoda";"Secernentea";"Hoplolaimidae/Tylenchulidae";"Radopholus/Tylenchulus";"Radopholus similis/Tylenchulus semipenetrans";43,55167676185;2090,4804845688;1;16
"765";"Viruses";NA;NA;"Secoviridae";"Comovirus";"Andean potato mottle comovirus";42,668282375446;2048,07755402141;1;2
"751";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Monochamus";"Monochamus saltuarius";41,9903684276592;2015,53768452764;1;1
"1099";"Animalia";"Arthropoda";"Arachnida";"Ixodidae";"Boophilus";NA;41,5175446025295;1992,84214092141;1;1
"123";"Animalia";"Chordata";"Aves";"Columbidae";"Columba";"Columba livia";40,407812255809;1939,57498827883;2;2
"737";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Monochamus";"Monochamus urussovii";38,762117554343;1860,58164260846;3;3
"162";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Diabrotica";"Diabrotica virgifera";38,5246464270492;1849,18302849836;26;49
"895";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadaceae";"Xylella";"Xylella fastidiosa";36,195268864921;1737,37290551621;9;33
"1100";"Fungi";"Basidiomycota";"Pucciniomycetes";"Cronartiaceae";"Cronartium";"Cronartium ribicola";35,9878263949017;1727,41566695528;1;1
"772";"Animalia";"Arthropoda";"Insecta";"Diaspididae";"Diaspidiotus";"Diaspidiotus perniciosus";35,9606047967733;1726,10903024512;1;2
"150";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Cydia";"Cydia pomonella";34,5557550990598;1658,67624475487;14;14
"1115";"Viruses";NA;NA;NA;NA;"Maize lethal necrosis";34,2897975772515;1645,91028370807;10;30
"338";"Animalia";"Arthropoda";"Insecta";"Crambidae";"Ostrinia";"Ostrinia nubilalis";32,5575899656432;1562,76431835087;1;1
"199";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Maconellicoccus";"Maconellicoccus hirsutus";31,7602513515485;1524,49206487433;15;45
"786";"Plantae";"Tracheophyta";"Dicotyledonae";"Asteraceae";"Helianthus";"Helianthus ciliaris";31,6751441215102;1520,40691783249;1;2
"774";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriaceae";"Erwinia";"Erwinia amylovora";31,1161709899541;1493,5762075178;1;2
"736";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Monochamus";"Monochamus impluviatus";30,9923637375634;1487,63345940304;3;3
"1098";"Animalia";"Chordata";"Osteichthyes";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";29,6553890018068;1423,45867208672;1;1
"126";"Animalia";"Chordata";"Aves";"Columbidae";"Columba";"Columba sp.";28,7637659128086;1380,66076381481;1;1
"883";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Dendroctonus";"Dendroctonus valens";28,6928016604954;1377,25447970378;2;2
"260";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Lymantria";"Lymantria dispar/Lymantria monacha";28,3573953102631;1361,15497489263;3;17
"635";"Plantae";"Tracheophyta";"Magnoliopsida";"Arecaceae";"Elaeis";"Elaeis guineensis";28,2450877411363;1355,76421157454;18;18
"671";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Prunus";"Prunus serotina";27,6746141317629;1328,38147832462;13;32
"878";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Ips";"Ips calligraphus";27,2495325417258;1307,97756200284;1;1
"756";"Fungi";"Basidiomycota";"Exobasidiomycetes";"Tilletiaceae";"Tilletia";"Tilletia indica";26,0854128059495;1252,09981468558;1;2
"251";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Anastrepha/Ceratitis";"Anastrepha ludens/Ceratitis capitata";25,5623897189407;1226,99470650915;3;3
"226";"Animalia";"Arthropoda";"Insecta";"Gelechiidae";"Pectinophora";"Pectinophora gossypiella";25,4805681751581;1223,06727240759;5;71
"637";"Plantae";"Tracheophyta";"Magnoliopsida";"Poaceae";"Cenchrus";"Cenchrus clandestinus";24,8522150866982;1192,90632416152;18;18
"1018";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea solstitialis";24,4623794490442;1174,19421355412;17;71
"755";"Fungi";"Ascomycota";"Sordariomycetes";"Diaporthaceae";"Phomopsis";"Phomopsis helianthi";22,7315740166132;1091,11555279743;1;2
"188";"Animalia";"Arthropoda";"Insecta";"Adelgidae";"Adelges";"Adelges piceae";22,6420250536042;1086,817202573;1;1
"329";"Plantae";"Tracheophyta";"Magnoliopsida";"Mimosaceae";"Prosopis";"Prosopis spp.";22,0927546721753;1060,45222426442;11;63
"760";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Epitrix";"Epitrix tuberis";21,2409789991303;1019,56699195826;1;2
"903";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Cirsium";"Cirsium arvense";20,775624162201;997,229959785647;4;5
"968";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Chondrilla";"Chondrilla juncea";20,7055664299465;993,867188637433;11;16
"771";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Grapholita";"Grapholita molesta";20,4956814903889;983,792711538669;1;2
"902";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Prosopis";"Diverse/Unspecified";19,8015930159362;950,476464764936;21;181
"767";"Viruses";NA;NA;"Bromoviridae";"Ilarvirus";"Potato yellowing virus";19,0050864729061;912,244150699493;1;2
"791";"Plantae";"Tracheophyta";"Dicotyledonae";"Solanaceae";"Solanum";"Solanum elaeagnifolium";19,0050864729061;912,244150699493;1;2
"1";"Animalia";"Chordata";"Mammalia";"Canidae";"Vulpes";"Vulpes vulpes";18,4373928635582;884,994857450793;28;66
"372";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Hydrilla";"Hydrilla sp.";18,3115004566869;878,952021920972;3;12
"1007";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus armeniacus";18,2839552205308;877,629850585478;13;13
"402";"Plantae";"Tracheophyta";"Magnoliopsida";"Mimosaceae";"Prosopis";"Prosopis sp.";17,7848079991716;853,670783960238;4;69
"1097";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera oleae";17,5368197885758;841,767349851638;1;1
"404";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Pueraria";"Pueraria sp.";17,3474479215692;832,677500235319;3;3
"748";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Diabrotica";"Diabrotica undecimpunctata";17,2885905424565;829,852346037914;3;3
"952";"Animalia";"Chordata";"Ascidiacea";"Didemnidae";"Didemnum";"Didemnum vexillum";16,8600921278457;809,284422136593;5;9
"703";"Plantae";"Tracheophyta";"Magnoliopsida";"Melastomataceae";"Miconia";"Miconia calvescens";16,6354483196904;798,501519345139;17;28
"81";"Animalia";"Chordata";"Mammalia";"Cricetidae";"Ondatra";"Ondatra zibethicus";16,3719350306156;785,852881469547;14;15
"731";"Animalia";"Arthropoda";"Insecta";"Elateridae";"Melanotus";"Melanotus communis";16,3544884250291;785,015444401396;1;1
"1096";"Plantae";"Tracheophyta";"Magnoliopsida";"Proteaceae";"Acacia";"Diverse/Unspecified";15,9198524567019;764,15291792169;1;1
"250";"Animalia";"Arthropoda";"Insecta";"Agromyzidae";"Liriomyza";"Liriomyza sativae";15,4888639586058;743,46547001308;5;5
"1116";"Animalia";"Arthropoda";"Insecta";"Agromyzidae";"Liriomyza";NA;14,886527388346;714,553314640606;6;18
"636";"Plantae";"Tracheophyta";"Pteridopsida";"Dennstaedtiaceae";"Pteridium";"Pteridium aquilinum";14,2421669988407;683,624015944354;17;17
"1085";"Animalia";"Arthropoda";"Insecta";"Pseudococcidae";"Paracoccus";"Paracoccus marginatus";14,1369610012455;678,574128059783;2;10
"173";"Animalia";"Arthropoda";"Insecta";"Rhinotermitidae/Diverse";"Diverse/Unspecified";"Diverse/Unspecified";12,8410500713868;616,370403426566;1;1
"239";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera/Bactrocera/Ceratitis";"Bactrocera cucurbitae/Bactrocera dorsalis/Ceratitis capitata";12,5172165303409;600,826393456363;3;3
"190";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera dorsalis/Bactrocera cucurbitae";12,289406351944;589,891504893312;1;1
"248";"Animalia";"Arthropoda";"Insecta";"Agromyzidae";"Liriomyza";"Liriomyza spp.";12,1979166666667;585,5;8;8
"207";"Animalia";"Arthropoda";"Insecta";"Lymantriidae";"Teia";"Teia anartoides";11,5566583827233;554,719602370717;8;67
"866";"Animalia";"Chordata";"Mammalia";"Rodentia";"Diverse/Unspecified";"Diverse/Unspecified";11,4110770080717;547,731696387439;1;1
"139";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Wasmannia";"Wasmannia auropunctata";11,2712654901155;541,020743525546;3;9
"744";"Animalia";"Arthropoda";"Insecta";"Blissidae";"Blissus";"Blissus leucopterus";11,2413242334666;539,583563206398;1;1
"342";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Reynoutria";"Reynoutria japonica";11,2020259039484;537,697243389524;29;55
"1094";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea spp.";11,0695805883187;531,339868239296;1;1
"831";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera dorsalis";11,0125483454781;528,60232058295;8;37
"159";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Leptinotarsa";"Leptinotarsa decemlineata";10,867209818014;521,626071264673;13;111
"738";"Animalia";"Arthropoda";"Insecta";"Tortricidae";"Grapholita";"Grapholita prunivora";10,8364673092097;520,150430842063;2;2
"364";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera/Ceratitis";"Bactrocera cucurbitae/Bactrocera dorsalis/Ceratitis capitata";10,7288424490434;514,984437554083;1;1
"254";"Animalia";"Arthropoda";"Insecta";"Dermestidae";"Trogoderma";"Trogoderma granarium";10,6222391675163;509,867480040781;2;7
"110";"Animalia";"Chordata";"Aves";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";10,4083748949029;499,601994955339;13;20
"904";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Diverse/Unspecified";10,1078762561135;485,178060293449;20;107
"1088";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginaceae";"Echium";"Echium plantagineum";10,0971216064281;484,661837108548;3;3
"981";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Carthamus";"Carthamus lanatus";9,27379969343644;445,142385284949;3;3
"766";"Viruses";NA;NA;"Flexiviridae";"Andesvirus";"Potato virus T";8,94357010489699;429,291365035055;1;2
"1012";"Viruses";"Negarnaviricota";"Monjiviricetes";"Paramyxoviridae";"Orthoavulavirus";"Avian orthoavulavirus 1";8,93743057473404;428,996667587234;3;5
"885";"Animalia";"Arthropoda";"Insecta";"Brachyceridae";"Lissorhoptrus";"Lissorhoptrus brevirostris";8,79196247887817;422,014198986152;2;55
"310";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Hydrilla";"Hydrilla verticillata";8,77735444469364;421,313013345295;11;47
"876";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Ips";"Ips pini";8,7374325467208;419,396762242598;1;1
"741";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Zygogramma";"Zygogramma exclamationis";8,71202628093664;418,177261484959;1;1
"257";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Diverse/Unspecified";"Diverse/Unspecified";8,65209372646841;415,300498870483;1;1
"601";"Animalia";"Chordata";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Trichopodus trichopterus/Carassius auratus/Poecilia sphenops/Poecilia reticulata/Danio rerio";8,40142878974518;403,268581907769;3;27
"815";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Pueraria";"Pueraria lobata";8,25334308984069;396,160468312353;2;2
"863";"Animalia";"Arthropoda";"Insecta";"Aleyrodidae";"Trialeurodes";"Trialeurodes vaporariorum/Bemisia tabaci";8,03655801465664;385,754784703519;1;1
"180";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Diverse/Unspecified";"Diverse/Unspecified";7,94574620999236;381,395818079633;2;2
"181";"Animalia";"Arthropoda";"Insecta";"Hesperiidae";"Erionota";"Erionota thrax";7,85407881158086;376,995782955881;3;59
"382";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Parthenium";"Parthenium hysterophorus";7,76197025276778;372,574572132853;26;82
"375";"Plantae";"Tracheophyta";"Magnoliopsida";"Lythraceae";"Lythrum";"Lythrum salicaria";7,72501647446981;370,800790774551;21;24
"1078";"Viruses";"Peploviricota";"Herviviricetes";"Herpesviridae";"Varicellovirus";"Bovine alphaherpesvirus 1";7,40656076142481;355,514916548391;3;18
"1086";"Animalia";"Chordata";"Hyperoartia";"Petromyzontidae";"Petromyzon";"Petromyzon marinus";7,28734874274038;349,792739651538;1;1
"218";"Animalia";"Arthropoda";"Insecta";"Thripidae";"Frankliniella";"Frankliniella occidentalis";7,18027250257091;344,653080123404;3;13
"101";"Animalia";"Chordata";"Amphibia/Reptilia";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";6,9601424252618;334,086836412566;4;4
"324";"Plantae";"Tracheophyta";"Magnoliopsida";"Verbenaceae";"Lantana";"Lantana camara";6,7521262658147;324,102060759105;54;160
"877";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Bostrichus";"Bostrichus concinnus";6,71474742812975;322,307876550228;1;1
"973";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea affinis";6,67202896581822;320,257390359275;5;5
"869";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Red tide";6,62102491336839;317,809195841683;2;4
"6";"Animalia";"Chordata";"Mammalia";"Muridae";"Mus";"Mus musculus";6,47296930724123;310,702526747579;12;21
"399";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Diverse/Unspecified";6,35175843214273;304,884404742851;24;86
"322";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia spp.";6,33731582341605;304,19115952397;10;40
"1089";"Animalia";"Arthropoda";"Insecta";"Formicidae";"Solenopsis";"Diverse/Unspecified";6,10278508094903;292,933683885554;1;20
"339";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea diffusa";6,08079144336658;291,877989281596;25;26
"358";"Animalia";"Arthropoda";"Arachnida";"Tarsonemidae/Varroidae";"Acarapis/Varroa";"Acarapis woodi/Varroa jacobsoni";5,99937791919071;287,970140121154;1;1
"1071";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Diverse/Unspecified";5,93437525400311;284,850012192149;2;2
"256";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Listronotus";"Listronotus bonariensis";5,92657352733413;284,475529312038;3;15
"757";"Fungi";"Ascomycota";"Sordariomycetes";"Diaporthaceae";"Stenocarpella";"Stenocarpella maydis/Stenocarpella macrospora";5,77605569274597;277,250673251807;1;2
"782";"Animalia";"Arthropoda";"Insecta";"Agromyzidae";"Liriomyza";"Liriomyza trifolii";5,58492138850482;268,076226648231;2;24
"189";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Aedes";"Aedes albopictus";5,57915383896467;267,799384270304;50;72
"830";"Animalia";"Arthropoda";"Insecta";"Tephritidae";"Bactrocera";"Bactrocera cucurbitae";5,57800510969482;267,744245265351;2;25
